SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
15362,9606.ENSP00000482674 (pp) 9606.ENSP00000489236,pp,9606.ENSP00000482674 (pp) 9606.ENSP00000489236,False,pp,0.954,,0.0,0.06,0.0,0.365,0.915,0.0,0.204
14852,9606.ENSP00000244537 (pp) 9606.ENSP00000484658,pp,9606.ENSP00000244537 (pp) 9606.ENSP00000484658,False,pp,0.99,,0.0,0.069,0.0,0.331,0.915,0.0,0.832
15365,9606.ENSP00000482674 (pp) 9606.ENSP00000484789,pp,9606.ENSP00000482674 (pp) 9606.ENSP00000484789,False,pp,0.963,,0.0,0.06,0.0,0.473,0.915,0.0,0.219
15368,9606.ENSP00000482674 (pp) 9606.ENSP00000483842,pp,9606.ENSP00000482674 (pp) 9606.ENSP00000483842,False,pp,0.973,,0.0,0.018,0.0,0.589,0.914,0.0,0.312
14858,9606.ENSP00000244537 (pp) 9606.ENSP00000483842,pp,9606.ENSP00000244537 (pp) 9606.ENSP00000483842,False,pp,0.992,,0.0,0.019,0.0,0.489,0.915,0.54,0.684
15371,9606.ENSP00000483842 (pp) 9606.ENSP00000484658,pp,9606.ENSP00000483842 (pp) 9606.ENSP00000484658,False,pp,0.987,,0.0,0.024,0.0,0.315,0.914,0.0,0.805
15374,9606.ENSP00000483842 (pp) 9606.ENSP00000489236,pp,9606.ENSP00000483842 (pp) 9606.ENSP00000489236,False,pp,0.991,,0.0,0.019,0.0,0.295,0.915,0.54,0.742
14864,9606.ENSP00000244537 (pp) 9606.ENSP00000482674,pp,9606.ENSP00000244537 (pp) 9606.ENSP00000482674,False,pp,0.996,,0.0,0.06,0.0,0.585,0.956,0.4,0.747
15377,9606.ENSP00000483842 (pp) 9606.ENSP00000484789,pp,9606.ENSP00000483842 (pp) 9606.ENSP00000484789,False,pp,0.993,,0.0,0.019,0.0,0.439,0.915,0.54,0.744
15380,9606.ENSP00000484658 (pp) 9606.ENSP00000489236,pp,9606.ENSP00000484658 (pp) 9606.ENSP00000489236,False,pp,0.981,,0.0,0.069,0.0,0.204,0.915,0.0,0.736
14870,9606.ENSP00000244573 (pp) 9606.ENSP00000462355,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000462355,False,pp,0.807,,0.0,0.0,0.0,0.111,0.172,0.0,0.759
15383,9606.ENSP00000484658 (pp) 9606.ENSP00000484789,pp,9606.ENSP00000484658 (pp) 9606.ENSP00000484789,False,pp,0.983,,0.0,0.069,0.0,0.292,0.915,0.0,0.736
14873,9606.ENSP00000244573 (pp) 9606.ENSP00000347168,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000347168,False,pp,0.807,,0.0,0.0,0.0,0.149,0.172,0.0,0.748
15386,9606.ENSP00000484789 (pp) 9606.ENSP00000489236,pp,9606.ENSP00000484789 (pp) 9606.ENSP00000489236,False,pp,0.988,,0.0,0.0,0.049,0.762,0.9,0.54,0.0
14876,9606.ENSP00000244573 (pp) 9606.ENSP00000484789,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000484789,False,pp,0.808,,0.0,0.0,0.0,0.161,0.172,0.0,0.746
14879,9606.ENSP00000244573 (pp) 9606.ENSP00000489236,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000489236,False,pp,0.811,,0.0,0.0,0.0,0.128,0.172,0.0,0.759
14882,9606.ENSP00000244573 (pp) 9606.ENSP00000443017,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000443017,False,pp,0.812,,0.0,0.0,0.0,0.127,0.172,0.0,0.761
14885,9606.ENSP00000244573 (pp) 9606.ENSP00000367034,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000367034,False,pp,0.82,,0.0,0.0,0.0,0.17,0.172,0.0,0.759
14888,9606.ENSP00000244573 (pp) 9606.ENSP00000479461,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000479461,False,pp,0.82,,0.0,0.0,0.0,0.151,0.172,0.0,0.764
14891,9606.ENSP00000244573 (pp) 9606.ENSP00000366974,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000366974,False,pp,0.82,,0.0,0.0,0.0,0.214,0.172,0.0,0.745
14894,9606.ENSP00000244573 (pp) 9606.ENSP00000480960,pp,9606.ENSP00000244573 (pp) 9606.ENSP00000480960,False,pp,0.831,,0.0,0.0,0.0,0.256,0.172,0.0,0.748
14897,9606.ENSP00000249750 (pp) 9606.ENSP00000451406,pp,9606.ENSP00000249750 (pp) 9606.ENSP00000451406,False,pp,0.908,,0.0,0.0,0.0,0.069,0.0,0.9,0.091
14900,9606.ENSP00000249750 (pp) 9606.ENSP00000378488,pp,9606.ENSP00000249750 (pp) 9606.ENSP00000378488,False,pp,0.925,,0.0,0.0,0.0,0.067,0.045,0.91,0.182
14903,9606.ENSP00000249750 (pp) 9606.ENSP00000498424,pp,9606.ENSP00000249750 (pp) 9606.ENSP00000498424,False,pp,0.983,,0.0,0.0,0.0,0.057,0.045,0.91,0.825
14909,9606.ENSP00000250340 (pp) 9606.ENSP00000288135,pp,9606.ENSP00000250340 (pp) 9606.ENSP00000288135,False,pp,0.993,,0.0,0.0,0.0,0.044,0.045,0.0,0.993
14912,9606.ENSP00000257860 (pp) 9606.ENSP00000482169,pp,9606.ENSP00000257860 (pp) 9606.ENSP00000482169,False,pp,0.902,,0.0,0.0,0.0,0.0,0.045,0.9,0.058
14915,9606.ENSP00000266718 (pp) 9606.ENSP00000355896,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000355896,False,pp,0.808,,0.0,0.0,0.0,0.085,0.0,0.5,0.616
14921,9606.ENSP00000266718 (pp) 9606.ENSP00000355751,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000355751,False,pp,0.826,,0.0,0.0,0.0,0.43,0.099,0.0,0.69
14927,9606.ENSP00000266718 (pp) 9606.ENSP00000295550,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000295550,False,pp,0.853,,0.0,0.0,0.0,0.471,0.094,0.0,0.719
14933,9606.ENSP00000266718 (pp) 9606.ENSP00000359114,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000359114,False,pp,0.949,,0.0,0.0,0.0,0.22,0.094,0.9,0.369
14936,9606.ENSP00000266718 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000346839,False,pp,0.962,,0.0,0.0,0.0,0.472,0.0,0.0,0.931
14939,9606.ENSP00000266718 (pp) 9606.ENSP00000297268,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000297268,False,pp,0.999,,0.0,0.0,0.0,0.964,0.098,0.9,0.817
14945,9606.ENSP00000269593 (pp) 9606.ENSP00000391826,pp,9606.ENSP00000269593 (pp) 9606.ENSP00000391826,False,pp,0.993,,0.0,0.0,0.0,0.109,0.681,0.7,0.937
14954,9606.ENSP00000272190 (pp) 9606.ENSP00000360973,pp,9606.ENSP00000272190 (pp) 9606.ENSP00000360973,False,pp,0.935,,0.0,0.0,0.0,0.057,0.0,0.0,0.934
14960,9606.ENSP00000274341 (pp) 9606.ENSP00000359114,pp,9606.ENSP00000274341 (pp) 9606.ENSP00000359114,False,pp,0.811,,0.0,0.0,0.0,0.156,0.091,0.0,0.774
14963,9606.ENSP00000288135 (pp) 9606.ENSP00000391826,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000391826,False,pp,0.833,,0.0,0.0,0.0,0.0,0.0,0.65,0.543
14969,9606.ENSP00000288135 (pp) 9606.ENSP00000334941,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000334941,False,pp,0.932,,0.0,0.0,0.0,0.0,0.299,0.9,0.111
