SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
13314,9606.ENSP00000266718 (pp) 9606.ENSP00000364000,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000364000,False,pp,0.96,,0.0,0.0,0.0,0.59,0.094,0.72,0.668
13317,9606.ENSP00000266718 (pp) 9606.ENSP00000304408,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000304408,False,pp,0.986,,0.0,0.0,0.0,0.82,0.094,0.72,0.739
13062,9606.ENSP00000172229 (pp) 9606.ENSP00000262741,pp,9606.ENSP00000172229 (pp) 9606.ENSP00000262741,False,pp,0.902,,0.0,0.0,0.0,0.0,0.0,0.9,0.063
13320,9606.ENSP00000266718 (pp) 9606.ENSP00000297268,pp,9606.ENSP00000266718 (pp) 9606.ENSP00000297268,False,pp,0.999,,0.0,0.0,0.0,0.964,0.098,0.9,0.817
13068,9606.ENSP00000172229 (pp) 9606.ENSP00000219409,pp,9606.ENSP00000172229 (pp) 9606.ENSP00000219409,False,pp,0.961,,0.0,0.0,0.0,0.0,0.513,0.9,0.28
13326,9606.ENSP00000274341 (pp) 9606.ENSP00000359114,pp,9606.ENSP00000274341 (pp) 9606.ENSP00000359114,False,pp,0.811,,0.0,0.0,0.0,0.156,0.091,0.0,0.774
13074,9606.ENSP00000172229 (pp) 9606.ENSP00000400175,pp,9606.ENSP00000172229 (pp) 9606.ENSP00000400175,False,pp,0.972,,0.0,0.0,0.0,0.0,0.0,0.9,0.733
13335,9606.ENSP00000280979 (pp) 9606.ENSP00000378207,pp,9606.ENSP00000280979 (pp) 9606.ENSP00000378207,False,pp,0.801,,0.0,0.0,0.0,0.05,0.0,0.0,0.8
13080,9606.ENSP00000172229 (pp) 9606.ENSP00000361728,pp,9606.ENSP00000172229 (pp) 9606.ENSP00000361728,False,pp,0.991,,0.0,0.0,0.0,0.0,0.303,0.9,0.887
13341,9606.ENSP00000280979 (pp) 9606.ENSP00000478212,pp,9606.ENSP00000280979 (pp) 9606.ENSP00000478212,False,pp,0.931,,0.0,0.0,0.0,0.0,0.0,0.0,0.931
13089,9606.ENSP00000199936 (pp) 9606.ENSP00000451406,pp,9606.ENSP00000199936 (pp) 9606.ENSP00000451406,False,pp,0.92,,0.0,0.0,0.128,0.061,0.0,0.9,0.145
13347,9606.ENSP00000280979 (pp) 9606.ENSP00000345502,pp,9606.ENSP00000280979 (pp) 9606.ENSP00000345502,False,pp,0.944,,0.0,0.0,0.0,0.047,0.292,0.0,0.925
13350,9606.ENSP00000295550 (pp) 9606.ENSP00000327336,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000327336,False,pp,0.806,,0.0,0.0,0.0,0.337,0.091,0.0,0.705
13095,9606.ENSP00000199936 (pp) 9606.ENSP00000222982,pp,9606.ENSP00000199936 (pp) 9606.ENSP00000222982,False,pp,0.937,,0.0,0.0,0.0,0.217,0.045,0.9,0.266
13353,9606.ENSP00000295550 (pp) 9606.ENSP00000358310,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000358310,False,pp,0.816,,0.0,0.0,0.0,0.044,0.0,0.65,0.496
13356,9606.ENSP00000295550 (pp) 9606.ENSP00000369071,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000369071,False,pp,0.819,,0.0,0.0,0.0,0.482,0.076,0.0,0.653
13359,9606.ENSP00000295550 (pp) 9606.ENSP00000327290,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000327290,False,pp,0.82,,0.0,0.0,0.0,0.164,0.0,0.65,0.435
13104,9606.ENSP00000205143 (pp) 9606.ENSP00000222725,pp,9606.ENSP00000205143 (pp) 9606.ENSP00000222725,False,pp,0.848,,0.0,0.0,0.0,0.0,0.073,0.0,0.843
13362,9606.ENSP00000295550 (pp) 9606.ENSP00000359114,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000359114,False,pp,0.826,,0.0,0.0,0.0,0.182,0.0,0.4,0.675
