SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
11266,9606.ENSP00000341094 (pp) 9606.ENSP00000347168,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000347168,False,pp,0.956,,0.0,0.018,0.0,0.431,0.915,0.0,0.172
11269,9606.ENSP00000341094 (pp) 9606.ENSP00000366974,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000366974,False,pp,0.957,,0.0,0.018,0.0,0.502,0.915,0.0,0.081
11272,9606.ENSP00000341094 (pp) 9606.ENSP00000489236,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000489236,False,pp,0.958,,0.0,0.018,0.0,0.506,0.915,0.0,0.081
11275,9606.ENSP00000341094 (pp) 9606.ENSP00000484658,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000484658,False,pp,0.96,,0.0,0.023,0.0,0.316,0.914,0.0,0.38
11278,9606.ENSP00000341094 (pp) 9606.ENSP00000445633,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000445633,False,pp,0.964,,0.0,0.018,0.0,0.476,0.914,0.0,0.278
11281,9606.ENSP00000341094 (pp) 9606.ENSP00000479461,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000479461,False,pp,0.966,,0.0,0.018,0.0,0.52,0.915,0.0,0.238
11284,9606.ENSP00000341094 (pp) 9606.ENSP00000484789,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000484789,False,pp,0.966,,0.0,0.018,0.0,0.607,0.915,0.0,0.081
11287,9606.ENSP00000341094 (pp) 9606.ENSP00000489317,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000489317,False,pp,0.971,,0.0,0.018,0.0,0.573,0.914,0.0,0.273
11290,9606.ENSP00000341094 (pp) 9606.ENSP00000482674,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000482674,False,pp,0.985,,0.0,0.018,0.0,0.611,0.928,0.4,0.231
11293,9606.ENSP00000341094 (pp) 9606.ENSP00000366962,pp,9606.ENSP00000341094 (pp) 9606.ENSP00000366962,False,pp,0.986,,0.0,0.018,0.0,0.819,0.914,0.0,0.221
