"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"68","8","WikiPathways","","Melanoma","2.16E-6","GADD45B|KIT|CALM3|CALML6|FOS|CALML3|CALML5|CALML4","2046","2230|2222|2118|2446|2302|2102|2086|2426","2.77E-9","","WP4685","1.0","0"
"71","8","Reactome Pathways","","Interferon alpha/beta signaling","8.63E-6","BST2|SOCS3|IFI6|IFIT1|IFNA14|IFNA21|IFNA5|IFITM2","2046","2278|2246|2406|2378|2334|2294|2314|2358","3.78E-9","","HSA-909733","0.8938218808669186","0"
"9","5","COMPARTMENTS","","Calcium- and calmodulin-dependent protein kinase complex","9.66E-6","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","4.2E-9","","GOCC:0005954","0.8851790548181099","0"
"65","7","KEGG Pathways","","Amphetamine addiction","1.12E-5","CALM3|CALML6|FOS|CALML3|CALML5|CALML4|GRIA1","2046","2118|2446|2302|2102|2086|2426|2350","4.98E-8","","hsa05031","0.8738401841367984","0"
"73","7","KEGG Pathways","","Pertussis","1.12E-5","CALM3|CALML6|FOS|CALML3|CALML5|IL6|CALML4","2046","2118|2446|2302|2102|2086|2322|2426","1.04E-7","","hsa05133","0.8738401841367984","0"
"165","9","KEGG Pathways","","Tuberculosis","1.12E-5","CALM3|CALML6|CALML3|IFNA14|IFNA21|CALML5|IL6|CALML4|IFNA5","2046","2118|2446|2102|2334|2294|2086|2322|2426|2314","1.43E-7","","hsa05152","0.8738401841367984","0"
"187","10","KEGG Pathways","","Kaposi sarcoma-associated herpesvirus infection","1.12E-5","CALM3|CALML6|FOS|CALML3|IFNA14|IFNA21|CALML5|IL6|CALML4|IFNA5","2046","2118|2446|2302|2102|2334|2294|2086|2322|2426|2314","3.32E-8","","hsa05167","0.8738401841367984","0"
"203","10","KEGG Pathways","","Human immunodeficiency virus 1 infection","1.12E-5","BST2|CALM3|CALML6|FOS|CALML3|IFNA14|IFNA21|CALML5|CALML4|IFNA5","2046","2278|2118|2446|2302|2102|2334|2294|2086|2426|2314","6.94E-8","","hsa05170","0.8738401841367984","0"
"515","14","KEGG Pathways","","Pathways in cancer","1.12E-5","GADD45B|KIT|CALM3|RUNX1|CALML6|FOS|CALML3|ZBTB16|IFNA14|IFNA21|CALML5|IL6|CALML4|IFNA5","2046","2230|2222|2118|2206|2446|2302|2102|2238|2334|2294|2086|2322|2426|2314","1.96E-7","","hsa05200","0.8738401841367984","0"
"26","5","KEGG Pathways","","Phototransduction","1.6E-5","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","3.34E-7","","hsa04744","0.8464991382460847","0"
"91","7","KEGG Pathways","","Circadian entrainment","1.78E-5","CALM3|CALML6|FOS|CALML3|CALML5|CALML4|GRIA1","2046","2118|2446|2302|2102|2086|2426|2350","4.23E-7","","hsa04713","0.838326930727282","0"
"63","6","KEGG Pathways","","Long-term potentiation","3.43E-5","CALM3|CALML6|CALML3|CALML5|CALML4|GRIA1","2046","2118|2446|2102|2086|2426|2350","9.2E-7","","hsa04720","0.7880450858316115","0"
"66","6","KEGG Pathways","","Renin secretion","3.98E-5","PDE1B|CALM3|CALML6|CALML3|CALML5|CALML4","2046","2134|2118|2446|2102|2086|2426","1.19E-6","","hsa04924","0.7766447813959998","0"
"217","9","KEGG Pathways","","Human cytomegalovirus infection","3.98E-5","CALM3|CALML6|CALML3|IFNA14|IFNA21|CALML5|IL6|CALML4|IFNA5","2046","2118|2446|2102|2334|2294|2086|2322|2426|2314","1.29E-6","","hsa05163","0.7766447813959998","0"
"71","6","KEGG Pathways","","Glioma","4.94E-5","GADD45B|CALM3|CALML6|CALML3|CALML5|CALML4","2046","2230|2118|2446|2102|2086|2426","1.76E-6","","hsa05214","0.7600808222068884","0"
"171","8","KEGG Pathways","","Transcriptional misregulation in cancer","5.68E-5","GADD45B|FUS|FLT1|RUNX1|NFKBIZ|ZBTB16|PBX3|IL6","2046","2230|2430|2178|2206|2154|2238|2326|2322","2.2E-6","","hsa05202","0.7493808148069511","0"
"126","7","KEGG Pathways","","Dopaminergic synapse","7.98E-5","CALM3|CALML6|FOS|CALML3|CALML5|CALML4|GRIA1","2046","2118|2446|2302|2102|2086|2426|2350","3.32E-6","","hsa04728","0.7233189755501087","0"
"132","7","KEGG Pathways","","Insulin signaling pathway","9.98E-5","PPP1R3C|CALM3|CALML6|CALML3|SOCS3|CALML5|CALML4","2046","2390|2118|2446|2102|2246|2086|2426","4.45E-6","","hsa04910","0.7061754123930041","0"
"133","7","KEGG Pathways","","Estrogen signaling pathway","9.98E-5","CALM3|CALML6|FOS|CALML3|CALML5|HSPA2|CALML4","2046","2118|2446|2302|2102|2086|2110|2426","4.67E-6","","hsa04915","0.7061754123930041","0"
"3507","41","GO Biological Process","","Cell differentiation","1.0E-4","GADD45B|DNPH1|PDE1B|LIF|HERC6|PITX1|ST8SIA2|FLT1|BMP3|KIT|DRAXIN|RUNX1|OTP|JUNB|IRX1|FOS|IRX2|DDIT4|CBX2|SOCS3|ZBTB16|AUTS2|POU3F3|SMOC1|CSRP1|ANKRD1|PBX3|ID1|IFNA14|IFNA21|EGFL6|TAGLN|TFAP2B|HSPA2|NEDD4L|IL6|CEBPD|TIPARP|EBF2|GJC1|IFNA5","2046","2230|2198|2134|2218|2282|2410|2306|2178|2382|2222|2186|2206|2138|2342|2354|2302|2366|2126|2162|2246|2238|2174|2394|2098|2418|2338|2326|2398|2334|2294|2346|2310|2274|2110|2330|2322|2142|2082|2106|2266|2314","6.62E-9","","GO:0030154","0.7060219481594705","0"
"5657","53","GO Biological Process","","Developmental process","1.0E-4","GADD45B|DNPH1|PDE1B|TLE6|LIF|NCAN|SERPINF1|HERC6|PITX1|ST8SIA2|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|DRAXIN|RUNX1|OTP|JUNB|IRX1|FOS|IRX2|DDIT4|CBX2|SOCS3|ZBTB16|AUTS2|SCN8A|POU3F3|SMOC1|CSRP1|ANKRD1|PBX3|ID1|IFNA14|IFNA21|CALML5|EGFL6|TAGLN|TFAP2B|HSPA2|NEDD4L|IL6|CEBPD|NECAB1|MME|TIPARP|EBF2|STRA6|GJC1|PCDHB16|IFNA5","2046","2230|2198|2134|2194|2218|2262|2422|2282|2410|2306|2370|2178|2382|2150|2222|2118|2186|2206|2138|2342|2354|2302|2366|2126|2162|2246|2238|2174|2078|2394|2098|2418|2338|2326|2398|2334|2294|2086|2346|2310|2274|2110|2330|2322|2142|2214|2254|2082|2106|2414|2266|2226|2314","2.13E-8","","GO:0032502","0.7060219481594705","0"
