"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"24","7","STRING Clusters","","PRC1 complex, and RNA binding Region","2.66E-9","CBX2|SCMH1|YAF2|PCGF5|AUTS2|PCGF3|PCGF6","4436","4488|4516|4504|4548|4496|4528|4568","5.82E-13","","CL:5359","1.0","0"
"26","5","Reactome Pathways","","A tetrasaccharide linker sequence is required for GAG synthesis","6.43E-6","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","8.91E-9","","HSA-1971475","0.605448089119561","0"
"20","5","Reactome Pathways","","Defective B4GALT7 causes EDS, progeroid type","6.43E-6","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","2.81E-9","","HSA-3560783","0.605448089119561","0"
"20","5","Reactome Pathways","","Defective B3GAT3 causes JDSSDHD","6.43E-6","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","2.81E-9","","HSA-3560801","0.605448089119561","0"
"20","5","Reactome Pathways","","Defective B3GALT6 causes EDSP2 and SEMDJL1","6.43E-6","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","2.81E-9","","HSA-4420332","0.605448089119561","0"
"37","5","Reactome Pathways","","RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known","2.0E-5","CBX2|SCMH1|YAF2|PCGF5|AUTS2","4436","4488|4516|4504|4548|4496","4.38E-8","","HSA-8939243","0.5479772762565017","0"
"16","4","STRING Clusters","","PRC1 complex","9.27E-5","CBX2|YAF2|PCGF3|PCGF6","4436","4488|4504|4528|4568","1.22E-7","","CL:5363","0.4703049095022727","0"
"55","5","UniProt Keywords","","Proteoglycan","1.8E-4","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","2.72E-7","","KW-0654","0.4366968869949792","0"
"15","4","GO Cellular Component","","PRC1 complex","2.0E-4","CBX2|PCGF5|PCGF3|PCGF6","4436","4488|4548|4528|4568","9.74E-8","","GO:0035102","0.43136081014779054","0"
"16","4","COMPARTMENTS","","PRC1 complex","2.8E-4","CBX2|PCGF5|PCGF3|PCGF6","4436","4488|4548|4528|4568","1.22E-7","","GOCC:0035102","0.4143198750275868","0"
"29","4","UniProt Keywords","","Sodium channel","3.4E-4","SCNN1G|SCN5A|SCNN1B|SCN8A","4436","4544|4576|4620|4556","1.0E-6","","KW-0894","0.404486671318092","0"
"25","4","COMPARTMENTS","","Sodium channel complex","6.7E-4","SCNN1G|SCN5A|SCNN1B|SCN8A","4436","4544|4576|4620|4556","5.87E-7","","GOCC:0034706","0.3701319402024235","0"
"26","4","GO Cellular Component","","Sodium channel complex","6.9E-4","SCNN1G|SCN5A|SCNN1B|SCN8A","4436","4544|4576|4620|4556","6.76E-7","","GO:0034706","0.3686422478745604","0"
"97","5","GO Cellular Component","","Lysosomal lumen","0.002","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","3.86E-6","","GO:0043202","0.31474434403907936","0"
"14","3","Reactome Pathways","","Defective EXT2 causes exostoses 2","0.002","GPC2|GPC4|GPC5","4436","4636|4612|4524","7.86E-6","","HSA-3656237","0.31474434403907936","0"
"14","3","Reactome Pathways","","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","0.002","GPC2|GPC4|GPC5","4436","4636|4612|4524","7.86E-6","","HSA-3656253","0.31474434403907936","0"
"90","5","COMPARTMENTS","","Lysosomal lumen","0.0021","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","2.72E-6","","GOCC:0043202","0.31227332286222265","0"
"106","5","GO Cellular Component","","Golgi lumen","0.0022","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","5.85E-6","","GO:0005796","0.3099172753731767","0"
"6","3","Pfam","","Glypican","0.0023","GPC2|GPC4|GPC5","4436","4636|4612|4524","9.84E-7","","PF01153","0.3076659763966105","0"
"102","5","COMPARTMENTS","","Golgi lumen","0.0025","NCAN|GPC2|BCAN|GPC4|GPC5","4436","4600|4636|4472|4612|4524","4.89E-6","","GOCC:0005796","0.3034430407915306","0"
"16","3","UniProt Keywords","","Heparan sulfate","0.0025","GPC2|GPC4|GPC5","4436","4636|4612|4524","1.12E-5","","KW-0357","0.3034430407915306","0"
"5","3","DISEASES","","Liddle syndrome","0.003","SCNN1G|SCNN1B|NEDD4L","4436","4544|4620|4592","6.57E-7","","DOID:0050477","0.29420920369537223","0"
"19","3","Reactome Pathways","","Attachment and Entry","0.0034","GPC2|GPC4|GPC5","4436","4636|4612|4524","1.77E-5","","HSA-9694614","0.2878702052093809","0"
"22","3","Reactome Pathways","","HS-GAG degradation","0.0043","GPC2|GPC4|GPC5","4436","4636|4612|4524","2.63E-5","","HSA-2024096","0.27597654564509905","0"
"6","3","InterPro Domains","","Glypican","0.0071","GPC2|GPC4|GPC5","4436","4636|4612|4524","9.84E-7","","IPR001863","0.250578657952978","0"
"6","3","InterPro Domains","","Glypican, conserved site","0.0071","GPC2|GPC4|GPC5","4436","4636|4612|4524","9.84E-7","","IPR019803","0.250578657952978","0"
"17","3","STRING Clusters","","cAMP-dependent protein kinase complex, and Protein kinase A regulatory subunit binding","0.0086","AKAP11|AKAP5|AKAP1","4436","4628|4640|4580","1.31E-5","","CL:10807","0.2408714913580449","0"
"17","3","STRING Clusters","","Sodium channel complex","0.0086","SCNN1G|SCNN1B|SCN8A","4436","4544|4620|4556","1.31E-5","","CL:22193","0.2408714913580449","0"
