"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"71","12","Reactome Pathways","","Interferon alpha/beta signaling","6.75E-14","BST2|STAT2|SOCS3|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2","6293","6405|6325|6517|6565|6549|6457|6421|6469|6417|6481|6441|6493","2.95E-17","","HSA-909733","1.3170696227168974","0"
"127","13","UniProt Keywords","","Antiviral defense","3.34E-13","BST2|HERC5|DDIT4|STAT2|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2","6293","6405|6529|6357|6325|6565|6549|6457|6421|6469|6417|6481|6441|6493","4.96E-16","","KW-0051","1.2476253533188435","0"
"199","13","Reactome Pathways","","Interferon Signaling","1.28E-10","BST2|HERC5|STAT2|SOCS3|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2","6293","6405|6529|6325|6517|6565|6549|6457|6421|6469|6417|6481|6441|6493","1.12E-13","","HSA-913531","0.9892790030352131","0"
"252","14","GO Biological Process","","Defense response to virus","1.17E-9","BST2|RTP4|HERC5|DDIT4|STAT2|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2","6293","6405|6513|6529|6357|6325|6565|6549|6457|6421|6469|6417|6481|6441|6493","9.45E-14","","GO:0051607","0.8931814138253837","0"
"44","9","GO Biological Process","","Cellular response to type I interferon","1.17E-9","STAT2|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2","6293","6325|6549|6457|6421|6469|6417|6481|6441|6493","7.44E-14","","GO:0071357","0.8931814138253837","0"
"706","18","Reactome Pathways","","Cytokine Signaling in Immune system","4.82E-9","LIF|BST2|HERC5|JUNB|FOS|STAT2|SOCS3|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|CEBPD|IFI27|IFNA5|IFITM2|ALPK1","6293","6401|6405|6529|6365|6349|6325|6517|6565|6549|6457|6421|6469|6417|6501|6481|6441|6493|6521","6.33E-12","","HSA-1280215","0.8316952961761149","0"
"25","7","Reactome Pathways","","Regulation of IFNA/IFNB signaling","4.82E-9","STAT2|SOCS3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6517|6457|6421|6469|6417|6441","7.5E-12","","HSA-912694","0.8316952961761149","0"
"42","8","GO Biological Process","","Type I interferon signaling pathway","1.02E-8","STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2","6293","6325|6457|6421|6469|6417|6481|6441|6493","3.25E-12","","GO:0060337","0.7991399828238082","0"
"21","6","GO Biological Process","","Positive regulation of peptidyl-serine phosphorylation of STAT protein","5.17E-7","LIF|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6457|6421|6469|6417|6441","2.31E-10","","GO:0033141","0.6286509456906058","0"
"41","7","STRING Clusters","","Mixed, incl. Interferon alpha/beta signaling, and Guanylate-binding protein, C-terminal","7.21E-7","RTP4|HERC6|HERC5|IFI6|IFIT1|IFI27|IFITM2","6293","6513|6413|6529|6565|6549|6481|6493","1.58E-10","","CL:17003","0.6142064735280571","0"
"23","6","STRING Clusters","","Interferon alpha/beta signaling, and ISG15-protein conjugation","7.46E-7","RTP4|HERC6|HERC5|IFI6|IFIT1|IFI27","6293","6513|6413|6529|6565|6549|6481","3.69E-10","","CL:17009","0.6127261172527331","0"
"1328","21","GO Biological Process","","Response to other organism","9.02E-7","BST2|RTP4|HERC6|HERC5|FOS|DDIT4|STAT2|TAC1|IFI6|ANKRD1|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|OCIAD2|ZFP36|IFI27|IFNA5|IFITM2|ALPK1","6293","6405|6513|6413|6529|6349|6357|6325|6329|6565|6489|6549|6457|6421|6469|6417|6557|6337|6481|6441|6493|6521","4.87E-10","","GO:0051707","0.6044793462458058","0"
"29","6","STRING Clusters","","Overview of interferons-mediated signaling pathway","1.16E-6","SOCS3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6517|6457|6421|6469|6417|6441","1.24E-9","","CL:16013","0.5935542010773082","0"
"31","6","WikiPathways","","SARS coronavirus and innate immunity","1.38E-6","STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6457|6421|6469|6417|6441","1.77E-9","","WP4912","0.5860120913598763","0"
"103","8","STRING Clusters","","JAK-STAT signaling pathway","1.5E-6","LIF|STAT2|SOCS3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6325|6517|6457|6421|6469|6417|6441","2.3E-9","","CL:15942","0.5823908740944319","0"
"36","6","WikiPathways","","Overview of interferons-mediated signaling pathway","1.54E-6","STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6457|6421|6469|6417|6441","3.94E-9","","WP4558","0.5812479279163537","0"
"135","8","WikiPathways","","Measles virus infection","4.45E-6","FOS|STAT2|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|IFNA5","6293","6349|6325|6457|6421|6469|6417|6473|6441","1.71E-8","","WP4630","0.5351639989019068","0"
"804","16","GO Biological Process","","Response to cytokine","4.94E-6","BST2|FOS|STAT2|SOCS3|ANKRD1|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|MME|PTP4A3|ZFP36|IFI27|IFNA5|IFITM2","6293","6405|6349|6325|6517|6489|6549|6457|6421|6469|6417|6409|6381|6337|6481|6441|6493","3.93E-9","","GO:0034097","0.5306273051076353","0"
"17","5","SMART Domains","","Interferon alpha, beta and delta.","5.81E-6","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","7.07E-9","","SM00076","0.5235823867609669","0"
