SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
118273,9606.ENSP00000342278 (pp) 9606.ENSP00000342513,pp,9606.ENSP00000342278 (pp) 9606.ENSP00000342513,False,pp,0.951,,0.0,0.0,0.0,0.785,0.0,0.0,0.782
118018,9606.ENSP00000259030 (pp) 9606.ENSP00000483430,pp,9606.ENSP00000259030 (pp) 9606.ENSP00000483430,False,pp,0.643,,0.0,0.0,0.0,0.374,0.0,0.0,0.452
118021,9606.ENSP00000259030 (pp) 9606.ENSP00000342513,pp,9606.ENSP00000259030 (pp) 9606.ENSP00000342513,False,pp,0.684,,0.0,0.0,0.0,0.388,0.0,0.0,0.505
118276,9606.ENSP00000342278 (pp) 9606.ENSP00000360869,pp,9606.ENSP00000342278 (pp) 9606.ENSP00000360869,False,pp,0.966,,0.0,0.0,0.0,0.789,0.091,0.0,0.837
118279,9606.ENSP00000342513 (pp) 9606.ENSP00000369566,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000369566,False,pp,0.557,,0.0,0.0,0.0,0.042,0.0,0.0,0.557
118024,9606.ENSP00000259030 (pp) 9606.ENSP00000264350,pp,9606.ENSP00000259030 (pp) 9606.ENSP00000264350,False,pp,0.733,,0.0,0.0,0.0,0.481,0.0,0.0,0.507
118027,9606.ENSP00000259030 (pp) 9606.ENSP00000264346,pp,9606.ENSP00000259030 (pp) 9606.ENSP00000264346,False,pp,0.756,,0.0,0.0,0.0,0.5,0.0,0.0,0.532
118282,9606.ENSP00000342513 (pp) 9606.ENSP00000369553,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000369553,False,pp,0.565,,0.0,0.0,0.0,0.0,0.0,0.0,0.565
118285,9606.ENSP00000342513 (pp) 9606.ENSP00000484479,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000484479,False,pp,0.571,,0.0,0.0,0.0,0.0,0.0,0.0,0.571
118030,9606.ENSP00000259030 (pp) 9606.ENSP00000354822,pp,9606.ENSP00000259030 (pp) 9606.ENSP00000354822,False,pp,0.781,,0.0,0.0,0.0,0.629,0.0,0.0,0.435
118033,9606.ENSP00000259030 (pp) 9606.ENSP00000360869,pp,9606.ENSP00000259030 (pp) 9606.ENSP00000360869,False,pp,0.791,,0.0,0.0,0.0,0.548,0.0,0.0,0.556
118288,9606.ENSP00000342513 (pp) 9606.ENSP00000369574,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000369574,False,pp,0.574,,0.0,0.0,0.0,0.042,0.0,0.0,0.574
118291,9606.ENSP00000342513 (pp) 9606.ENSP00000369571,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000369571,False,pp,0.575,,0.0,0.0,0.0,0.0,0.0,0.0,0.575
118036,9606.ENSP00000259030 (pp) 9606.ENSP00000342278,pp,9606.ENSP00000259030 (pp) 9606.ENSP00000342278,False,pp,0.88,,0.0,0.0,0.0,0.78,0.0,0.0,0.479
118039,9606.ENSP00000259030 (pp) 9606.ENSP00000359783,pp,9606.ENSP00000259030 (pp) 9606.ENSP00000359783,False,pp,0.932,,0.0,0.0,0.0,0.752,0.0,0.0,0.738
118294,9606.ENSP00000342513 (pp) 9606.ENSP00000484689,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000484689,False,pp,0.674,,0.0,0.0,0.0,0.255,0.0,0.0,0.581
118297,9606.ENSP00000342513 (pp) 9606.ENSP00000428572,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000428572,False,pp,0.832,,0.0,0.0,0.0,0.487,0.0,0.0,0.686
118042,9606.ENSP00000264346 (pp) 9606.ENSP00000428572,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000428572,False,pp,0.565,,0.0,0.0,0.0,0.337,0.0,0.0,0.37
