SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
103172,9606.ENSP00000249075 (pp) 9606.ENSP00000480035,pp,9606.ENSP00000249075 (pp) 9606.ENSP00000480035,False,pp,0.9,,0.0,0.0,0.0,0.0,0.9,0.0,0.0
103181,9606.ENSP00000252593 (pp) 9606.ENSP00000359783,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000359783,False,pp,0.708,,0.0,0.0,0.0,0.463,0.0,0.0,0.479
103187,9606.ENSP00000252593 (pp) 9606.ENSP00000360869,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000360869,False,pp,0.709,,0.0,0.0,0.0,0.289,0.0,0.0,0.607
103193,9606.ENSP00000252593 (pp) 9606.ENSP00000342513,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000342513,False,pp,0.744,,0.0,0.0,0.0,0.521,0.0,0.0,0.487
103199,9606.ENSP00000252593 (pp) 9606.ENSP00000342278,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000342278,False,pp,0.777,,0.0,0.0,0.0,0.502,0.0,0.0,0.571
103205,9606.ENSP00000252593 (pp) 9606.ENSP00000388001,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000388001,False,pp,0.779,,0.0,0.0,0.0,0.496,0.0,0.0,0.58
103211,9606.ENSP00000252593 (pp) 9606.ENSP00000315768,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000315768,False,pp,0.809,,0.0,0.0,0.0,0.291,0.0,0.5,0.506
103220,9606.ENSP00000282397 (pp) 9606.ENSP00000329668,pp,9606.ENSP00000282397 (pp) 9606.ENSP00000329668,False,pp,0.705,,0.0,0.0,0.0,0.055,0.105,0.65,0.123
103226,9606.ENSP00000282397 (pp) 9606.ENSP00000371347,pp,9606.ENSP00000282397 (pp) 9606.ENSP00000371347,False,pp,0.789,,0.0,0.0,0.0,0.062,0.115,0.65,0.36
103232,9606.ENSP00000288135 (pp) 9606.ENSP00000371347,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000371347,False,pp,0.727,,0.0,0.0,0.0,0.06,0.115,0.65,0.173
103238,9606.ENSP00000288135 (pp) 9606.ENSP00000418525,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000418525,False,pp,0.745,,0.0,0.0,0.0,0.103,0.0,0.0,0.728
103244,9606.ENSP00000288135 (pp) 9606.ENSP00000377265,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000377265,False,pp,0.776,,0.0,0.0,0.0,0.078,0.0,0.75,0.106
103247,9606.ENSP00000288135 (pp) 9606.ENSP00000329668,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000329668,False,pp,0.921,,0.0,0.0,0.0,0.063,0.208,0.9,0.071
103256,9606.ENSP00000308750 (pp) 9606.ENSP00000328004,pp,9606.ENSP00000308750 (pp) 9606.ENSP00000328004,False,pp,0.958,,0.0,0.0,0.0,0.0,0.34,0.5,0.883
103259,9606.ENSP00000315768 (pp) 9606.ENSP00000359783,pp,9606.ENSP00000315768 (pp) 9606.ENSP00000359783,False,pp,0.717,,0.0,0.0,0.0,0.421,0.0,0.0,0.532
103262,9606.ENSP00000315768 (pp) 9606.ENSP00000388001,pp,9606.ENSP00000315768 (pp) 9606.ENSP00000388001,False,pp,0.88,,0.0,0.0,0.0,0.272,0.0,0.5,0.697
103265,9606.ENSP00000315768 (pp) 9606.ENSP00000342278,pp,9606.ENSP00000315768 (pp) 9606.ENSP00000342278,False,pp,0.886,,0.0,0.0,0.0,0.447,0.0,0.5,0.621
103268,9606.ENSP00000315768 (pp) 9606.ENSP00000360869,pp,9606.ENSP00000315768 (pp) 9606.ENSP00000360869,False,pp,0.887,,0.0,0.0,0.0,0.295,0.0,0.5,0.704
103271,9606.ENSP00000315768 (pp) 9606.ENSP00000342513,pp,9606.ENSP00000315768 (pp) 9606.ENSP00000342513,False,pp,0.899,,0.0,0.0,0.0,0.4,0.0,0.5,0.693
103277,9606.ENSP00000315768 (pp) 9606.ENSP00000330341,pp,9606.ENSP00000315768 (pp) 9606.ENSP00000330341,False,pp,0.977,,0.0,0.0,0.0,0.118,0.107,0.9,0.748
103283,9606.ENSP00000321106 (pp) 9606.ENSP00000418525,pp,9606.ENSP00000321106 (pp) 9606.ENSP00000418525,False,pp,0.721,,0.0,0.0,0.0,0.059,0.0,0.0,0.716
103289,9606.ENSP00000328004 (pp) 9606.ENSP00000344087,pp,9606.ENSP00000328004 (pp) 9606.ENSP00000344087,False,pp,0.958,,0.0,0.0,0.0,0.0,0.795,0.5,0.626
103292,9606.ENSP00000342278 (pp) 9606.ENSP00000359783,pp,9606.ENSP00000342278 (pp) 9606.ENSP00000359783,False,pp,0.941,,0.0,0.0,0.0,0.801,0.0,0.0,0.716
103295,9606.ENSP00000342278 (pp) 9606.ENSP00000342513,pp,9606.ENSP00000342278 (pp) 9606.ENSP00000342513,False,pp,0.951,,0.0,0.0,0.0,0.785,0.0,0.0,0.782
103298,9606.ENSP00000342278 (pp) 9606.ENSP00000360869,pp,9606.ENSP00000342278 (pp) 9606.ENSP00000360869,False,pp,0.966,,0.0,0.0,0.0,0.789,0.091,0.0,0.837
103301,9606.ENSP00000342278 (pp) 9606.ENSP00000388001,pp,9606.ENSP00000342278 (pp) 9606.ENSP00000388001,False,pp,0.999,,0.0,0.0,0.071,0.999,0.0,0.9,0.424
103304,9606.ENSP00000342513 (pp) 9606.ENSP00000360869,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000360869,False,pp,0.932,,0.0,0.0,0.0,0.766,0.054,0.0,0.72
103307,9606.ENSP00000342513 (pp) 9606.ENSP00000388001,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000388001,False,pp,0.959,,0.0,0.0,0.0,0.789,0.0,0.0,0.815
103310,9606.ENSP00000342513 (pp) 9606.ENSP00000359783,pp,9606.ENSP00000342513 (pp) 9606.ENSP00000359783,False,pp,0.959,,0.0,0.0,0.0,0.784,0.0,0.0,0.821
