SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
102405,9606.ENSP00000308750 (pp) 9606.ENSP00000337500,pp,9606.ENSP00000308750 (pp) 9606.ENSP00000337500,False,pp,0.974,,0.0,0.0,0.0,0.0,0.423,0.9,0.585
102411,9606.ENSP00000308750 (pp) 9606.ENSP00000358862,pp,9606.ENSP00000308750 (pp) 9606.ENSP00000358862,False,pp,0.984,,0.0,0.0,0.0,0.0,0.326,0.9,0.782
102417,9606.ENSP00000328004 (pp) 9606.ENSP00000344087,pp,9606.ENSP00000328004 (pp) 9606.ENSP00000344087,False,pp,0.958,,0.0,0.0,0.0,0.0,0.795,0.5,0.626
102420,9606.ENSP00000328004 (pp) 9606.ENSP00000354724,pp,9606.ENSP00000328004 (pp) 9606.ENSP00000354724,False,pp,0.979,,0.0,0.0,0.0,0.049,0.798,0.0,0.902
102423,9606.ENSP00000328004 (pp) 9606.ENSP00000337500,pp,9606.ENSP00000328004 (pp) 9606.ENSP00000337500,False,pp,0.989,,0.0,0.0,0.0,0.06,0.854,0.5,0.861
102426,9606.ENSP00000328004 (pp) 9606.ENSP00000358862,pp,9606.ENSP00000328004 (pp) 9606.ENSP00000358862,False,pp,0.999,,0.0,0.0,0.0,0.055,0.795,0.8,0.977
102429,9606.ENSP00000337500 (pp) 9606.ENSP00000358862,pp,9606.ENSP00000337500 (pp) 9606.ENSP00000358862,False,pp,0.969,,0.0,0.0,0.0,0.047,0.197,0.9,0.646
102432,9606.ENSP00000337500 (pp) 9606.ENSP00000354724,pp,9606.ENSP00000337500 (pp) 9606.ENSP00000354724,False,pp,0.993,,0.0,0.0,0.0,0.0,0.309,0.9,0.913
102435,9606.ENSP00000337500 (pp) 9606.ENSP00000344087,pp,9606.ENSP00000337500 (pp) 9606.ENSP00000344087,False,pp,0.994,,0.0,0.0,0.0,0.0,0.87,0.8,0.812
102438,9606.ENSP00000344087 (pp) 9606.ENSP00000354724,pp,9606.ENSP00000344087 (pp) 9606.ENSP00000354724,False,pp,0.888,,0.0,0.0,0.0,0.0,0.595,0.0,0.736
102441,9606.ENSP00000344087 (pp) 9606.ENSP00000358862,pp,9606.ENSP00000344087 (pp) 9606.ENSP00000358862,False,pp,0.901,,0.0,0.0,0.0,0.0,0.779,0.0,0.571
102447,9606.ENSP00000344468 (pp) 9606.ENSP00000359864,pp,9606.ENSP00000344468 (pp) 9606.ENSP00000359864,False,pp,0.728,,0.0,0.0,0.0,0.067,0.0,0.4,0.553
102450,9606.ENSP00000354724 (pp) 9606.ENSP00000358862,pp,9606.ENSP00000354724 (pp) 9606.ENSP00000358862,False,pp,0.98,,0.0,0.0,0.0,0.0,0.197,0.9,0.777
102459,9606.ENSP00000362588 (pp) 9606.ENSP00000443292,pp,9606.ENSP00000362588 (pp) 9606.ENSP00000443292,False,pp,0.782,,0.0,0.0,0.0,0.0,0.782,0.0,0.0
102465,9606.ENSP00000377265 (pp) 9606.ENSP00000384367,pp,9606.ENSP00000377265 (pp) 9606.ENSP00000384367,False,pp,0.929,,0.0,0.0,0.0,0.068,0.362,0.5,0.789
102474,9606.ENSP00000378207 (pp) 9606.ENSP00000428994,pp,9606.ENSP00000378207 (pp) 9606.ENSP00000428994,False,pp,0.838,,0.0,0.0,0.0,0.056,0.0,0.5,0.686
102480,9606.ENSP00000378207 (pp) 9606.ENSP00000478212,pp,9606.ENSP00000378207 (pp) 9606.ENSP00000478212,False,pp,0.931,,0.0,0.0,0.0,0.0,0.0,0.0,0.931
102489,9606.ENSP00000383199 (pp) 9606.ENSP00000473623,pp,9606.ENSP00000383199 (pp) 9606.ENSP00000473623,False,pp,0.903,,0.0,0.0,0.0,0.044,0.66,0.0,0.725
102498,9606.ENSP00000455469 (pp) 9606.ENSP00000467201,pp,9606.ENSP00000455469 (pp) 9606.ENSP00000467201,False,pp,0.907,,0.0,0.0,0.0,0.0,0.0,0.36,0.861
102345,9606.ENSP00000231137 (pp) 9606.ENSP00000477314,pp,9606.ENSP00000231137 (pp) 9606.ENSP00000477314,False,pp,0.889,,0.0,0.0,0.052,0.733,0.591,0.0,0.058
102375,9606.ENSP00000252575 (pp) 9606.ENSP00000344468,pp,9606.ENSP00000252575 (pp) 9606.ENSP00000344468,False,pp,0.774,,0.0,0.0,0.0,0.084,0.0,0.5,0.547
102384,9606.ENSP00000288135 (pp) 9606.ENSP00000377265,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000377265,False,pp,0.776,,0.0,0.0,0.0,0.078,0.0,0.75,0.106
102393,9606.ENSP00000308750 (pp) 9606.ENSP00000328004,pp,9606.ENSP00000308750 (pp) 9606.ENSP00000328004,False,pp,0.958,,0.0,0.0,0.0,0.0,0.34,0.5,0.883
102399,9606.ENSP00000308750 (pp) 9606.ENSP00000354724,pp,9606.ENSP00000308750 (pp) 9606.ENSP00000354724,False,pp,0.974,,0.0,0.0,0.0,0.0,0.423,0.9,0.589
