SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
75777,9606.ENSP00000261884 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000261884 (pp) 9606.ENSP00000357047,False,pp,0.994,,0.0,0.0,0.0,0.107,0.994,0.0,0.0
75780,9606.ENSP00000261884 (pp) 9606.ENSP00000292035,pp,9606.ENSP00000261884 (pp) 9606.ENSP00000292035,False,pp,0.994,,0.0,0.0,0.0,0.078,0.994,0.0,0.0
75783,9606.ENSP00000263205 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000354633,False,pp,0.807,,0.0,0.0,0.0,0.049,0.8,0.0,0.067
76038,9606.ENSP00000385300 (pp) 9606.ENSP00000403980,pp,9606.ENSP00000385300 (pp) 9606.ENSP00000403980,False,pp,0.824,,0.0,0.0,0.0,0.0,0.0,0.65,0.519
76041,9606.ENSP00000393388 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000393388 (pp) 9606.ENSP00000451291,False,pp,0.834,,0.0,0.0,0.0,0.711,0.279,0.0,0.27
75786,9606.ENSP00000263205 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000312709,False,pp,0.82,,0.0,0.0,0.0,0.0,0.8,0.0,0.141
75789,9606.ENSP00000263205 (pp) 9606.ENSP00000283875,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000283875,False,pp,0.837,,0.0,0.0,0.0,0.172,0.812,0.0,0.0
76044,9606.ENSP00000393388 (pp) 9606.ENSP00000463058,pp,9606.ENSP00000393388 (pp) 9606.ENSP00000463058,False,pp,0.881,,0.0,0.0,0.0,0.371,0.8,0.0,0.133
76047,9606.ENSP00000393388 (pp) 9606.ENSP00000412566,pp,9606.ENSP00000393388 (pp) 9606.ENSP00000412566,False,pp,0.999,,0.0,0.0,0.0,0.298,0.986,0.9,0.955
75537,9606.ENSP00000215829 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000451291,False,pp,0.94,,0.0,0.0,0.0,0.656,0.259,0.72,0.27
75792,9606.ENSP00000263205 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000377969,False,pp,0.878,,0.0,0.0,0.0,0.331,0.812,0.0,0.108
75795,9606.ENSP00000263205 (pp) 9606.ENSP00000290663,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000290663,False,pp,0.996,,0.0,0.0,0.0,0.049,0.952,0.8,0.69
76050,9606.ENSP00000412566 (pp) 9606.ENSP00000463058,pp,9606.ENSP00000412566 (pp) 9606.ENSP00000463058,False,pp,0.862,,0.0,0.0,0.0,0.147,0.825,0.0,0.151
76053,9606.ENSP00000412566 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000412566 (pp) 9606.ENSP00000451291,False,pp,0.889,,0.0,0.0,0.0,0.24,0.274,0.72,0.366
75543,9606.ENSP00000215829 (pp) 9606.ENSP00000370119,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000370119,False,pp,0.951,,0.0,0.0,0.0,0.0,0.092,0.9,0.504
75798,9606.ENSP00000263205 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000326767,False,pp,0.997,,0.0,0.0,0.0,0.32,0.925,0.8,0.736
75801,9606.ENSP00000263205 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000293777,False,pp,0.997,,0.0,0.0,0.0,0.087,0.961,0.8,0.715
76056,9606.ENSP00000451291 (pp) 9606.ENSP00000463058,pp,9606.ENSP00000451291 (pp) 9606.ENSP00000463058,False,pp,0.861,,0.0,0.0,0.0,0.565,0.292,0.0,0.587
75549,9606.ENSP00000215829 (pp) 9606.ENSP00000270257,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000270257,False,pp,0.953,,0.0,0.0,0.0,0.075,0.0,0.9,0.534
75804,9606.ENSP00000263205 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000357047,False,pp,0.999,,0.0,0.0,0.0,0.128,0.979,0.8,0.968
75807,9606.ENSP00000263205 (pp) 9606.ENSP00000292035,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000292035,False,pp,0.999,,0.0,0.0,0.0,0.163,0.981,0.8,0.962
75555,9606.ENSP00000215829 (pp) 9606.ENSP00000281950,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000281950,False,pp,0.97,,0.0,0.0,0.0,0.086,0.292,0.9,0.596
75810,9606.ENSP00000266735 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000266735 (pp) 9606.ENSP00000451291,False,pp,0.864,,0.0,0.0,0.0,0.762,0.364,0.0,0.173
75813,9606.ENSP00000266735 (pp) 9606.ENSP00000463058,pp,9606.ENSP00000266735 (pp) 9606.ENSP00000463058,False,pp,0.916,,0.0,0.0,0.0,0.345,0.862,0.0,0.143
75561,9606.ENSP00000215829 (pp) 9606.ENSP00000380336,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000380336,False,pp,0.992,,0.0,0.0,0.0,0.419,0.8,0.9,0.403
75816,9606.ENSP00000266735 (pp) 9606.ENSP00000270257,pp,9606.ENSP00000266735 (pp) 9606.ENSP00000270257,False,pp,0.924,,0.0,0.0,0.0,0.082,0.227,0.9,0.057
75819,9606.ENSP00000266735 (pp) 9606.ENSP00000281950,pp,9606.ENSP00000266735 (pp) 9606.ENSP00000281950,False,pp,0.978,,0.0,0.0,0.0,0.149,0.763,0.9,0.0
75567,9606.ENSP00000215829 (pp) 9606.ENSP00000393388,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000393388,False,pp,0.999,,0.0,0.0,0.0,0.881,0.997,0.9,0.573
75822,9606.ENSP00000266735 (pp) 9606.ENSP00000370119,pp,9606.ENSP00000266735 (pp) 9606.ENSP00000370119,False,pp,0.984,,0.0,0.0,0.0,0.147,0.81,0.9,0.172
75825,9606.ENSP00000266735 (pp) 9606.ENSP00000380336,pp,9606.ENSP00000266735 (pp) 9606.ENSP00000380336,False,pp,0.991,,0.0,0.0,0.0,0.394,0.832,0.9,0.296
75573,9606.ENSP00000215829 (pp) 9606.ENSP00000266735,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000266735,False,pp,0.999,,0.0,0.0,0.0,0.833,0.997,0.9,0.491
75828,9606.ENSP00000266735 (pp) 9606.ENSP00000412566,pp,9606.ENSP00000266735 (pp) 9606.ENSP00000412566,False,pp,0.999,,0.0,0.0,0.0,0.421,0.987,0.9,0.96
75831,9606.ENSP00000266735 (pp) 9606.ENSP00000393388,pp,9606.ENSP00000266735 (pp) 9606.ENSP00000393388,False,pp,0.999,,0.0,0.0,0.0,0.98,0.996,0.9,0.995
75579,9606.ENSP00000215829 (pp) 9606.ENSP00000412566,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000412566,False,pp,0.999,,0.0,0.0,0.0,0.374,0.996,0.9,0.993
75837,9606.ENSP00000270257 (pp) 9606.ENSP00000297540,pp,9606.ENSP00000270257 (pp) 9606.ENSP00000297540,False,pp,0.818,,0.0,0.0,0.0,0.068,0.241,0.5,0.548
75840,9606.ENSP00000270257 (pp) 9606.ENSP00000393388,pp,9606.ENSP00000270257 (pp) 9606.ENSP00000393388,False,pp,0.936,,0.0,0.0,0.0,0.086,0.365,0.9,0.0
75843,9606.ENSP00000270257 (pp) 9606.ENSP00000412566,pp,9606.ENSP00000270257 (pp) 9606.ENSP00000412566,False,pp,0.957,,0.0,0.0,0.0,0.062,0.0,0.9,0.584
75588,9606.ENSP00000216554 (pp) 9606.ENSP00000265753,pp,9606.ENSP00000216554 (pp) 9606.ENSP00000265753,False,pp,0.902,,0.0,0.0,0.0,0.262,0.185,0.5,0.713
75846,9606.ENSP00000270257 (pp) 9606.ENSP00000370119,pp,9606.ENSP00000270257 (pp) 9606.ENSP00000370119,False,pp,0.957,,0.0,0.0,0.0,0.0,0.0,0.9,0.594
75849,9606.ENSP00000270257 (pp) 9606.ENSP00000281950,pp,9606.ENSP00000270257 (pp) 9606.ENSP00000281950,False,pp,0.999,,0.0,0.0,0.0,0.108,0.991,0.9,0.993
75597,9606.ENSP00000228347 (pp) 9606.ENSP00000283875,pp,9606.ENSP00000228347 (pp) 9606.ENSP00000283875,False,pp,0.859,,0.0,0.0,0.0,0.258,0.771,0.0,0.24
75858,9606.ENSP00000274242 (pp) 9606.ENSP00000480514,pp,9606.ENSP00000274242 (pp) 9606.ENSP00000480514,False,pp,0.816,,0.0,0.0,0.0,0.049,0.814,0.0,0.0
75606,9606.ENSP00000230381 (pp) 9606.ENSP00000370521,pp,9606.ENSP00000230381 (pp) 9606.ENSP00000370521,False,pp,0.81,,0.0,0.0,0.0,0.133,0.0,0.0,0.79
75864,9606.ENSP00000274242 (pp) 9606.ENSP00000354040,pp,9606.ENSP00000274242 (pp) 9606.ENSP00000354040,False,pp,0.968,,0.0,0.0,0.0,0.063,0.966,0.0,0.081
75867,9606.ENSP00000281950 (pp) 9606.ENSP00000297540,pp,9606.ENSP00000281950 (pp) 9606.ENSP00000297540,False,pp,0.832,,0.0,0.0,0.0,0.182,0.0,0.5,0.624
75615,9606.ENSP00000237380 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000312709,False,pp,0.811,,0.0,0.0,0.0,0.054,0.8,0.0,0.085
75870,9606.ENSP00000281950 (pp) 9606.ENSP00000370119,pp,9606.ENSP00000281950 (pp) 9606.ENSP00000370119,False,pp,0.932,,0.0,0.0,0.0,0.0,0.0,0.9,0.351
75873,9606.ENSP00000281950 (pp) 9606.ENSP00000393388,pp,9606.ENSP00000281950 (pp) 9606.ENSP00000393388,False,pp,0.966,,0.0,0.0,0.0,0.224,0.6,0.9,0.0
75621,9606.ENSP00000237380 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000377969,False,pp,0.813,,0.0,0.0,0.0,0.049,0.812,0.0,0.0
75876,9606.ENSP00000281950 (pp) 9606.ENSP00000412566,pp,9606.ENSP00000281950 (pp) 9606.ENSP00000412566,False,pp,0.981,,0.0,0.0,0.0,0.057,0.606,0.9,0.549
