SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
77314,9606.ENSP00000290663 (pp) 9606.ENSP00000462355,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000462355,False,pp,0.8,,0.0,0.0,0.0,0.0,0.8,0.0,0.0
77317,9606.ENSP00000290663 (pp) 9606.ENSP00000479461,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000479461,False,pp,0.8,,0.0,0.0,0.0,0.0,0.8,0.0,0.0
77572,9606.ENSP00000368265 (pp) 9606.ENSP00000431885,pp,9606.ENSP00000368265 (pp) 9606.ENSP00000431885,False,pp,0.849,,0.0,0.0,0.0,0.0,0.0,0.65,0.587
77320,9606.ENSP00000290663 (pp) 9606.ENSP00000484789,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000484789,False,pp,0.8,,0.0,0.0,0.0,0.0,0.8,0.0,0.0
77323,9606.ENSP00000290663 (pp) 9606.ENSP00000462667,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000462667,False,pp,0.8,,0.0,0.0,0.0,0.044,0.8,0.0,0.0
77578,9606.ENSP00000368265 (pp) 9606.ENSP00000370698,pp,9606.ENSP00000368265 (pp) 9606.ENSP00000370698,False,pp,0.986,,0.0,0.0,0.0,0.054,0.328,0.8,0.905
77326,9606.ENSP00000290663 (pp) 9606.ENSP00000489236,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000489236,False,pp,0.801,,0.0,0.0,0.0,0.048,0.8,0.0,0.0
77329,9606.ENSP00000290663 (pp) 9606.ENSP00000347168,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000347168,False,pp,0.813,,0.0,0.0,0.0,0.0,0.8,0.0,0.104
77584,9606.ENSP00000370521 (pp) 9606.ENSP00000454264,pp,9606.ENSP00000370521 (pp) 9606.ENSP00000454264,False,pp,0.975,,0.0,0.0,0.0,0.0,0.737,0.0,0.91
77587,9606.ENSP00000370698 (pp) 9606.ENSP00000450565,pp,9606.ENSP00000370698 (pp) 9606.ENSP00000450565,False,pp,0.918,,0.0,0.0,0.0,0.044,0.0,0.8,0.606
77332,9606.ENSP00000290663 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000377969,False,pp,0.82,,0.0,0.0,0.0,0.082,0.812,0.0,0.0
77335,9606.ENSP00000290663 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000312709,False,pp,0.827,,0.0,0.0,0.0,0.042,0.8,0.0,0.172
77590,9606.ENSP00000370698 (pp) 9606.ENSP00000431885,pp,9606.ENSP00000370698 (pp) 9606.ENSP00000431885,False,pp,0.952,,0.0,0.0,0.0,0.0,0.292,0.65,0.823
77593,9606.ENSP00000377969 (pp) 9606.ENSP00000479794,pp,9606.ENSP00000377969 (pp) 9606.ENSP00000479794,False,pp,0.842,,0.0,0.0,0.0,0.0,0.834,0.0,0.091
77338,9606.ENSP00000290663 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000293777,False,pp,0.999,,0.0,0.0,0.0,0.119,0.984,0.9,0.995
77341,9606.ENSP00000293777 (pp) 9606.ENSP00000484789,pp,9606.ENSP00000293777 (pp) 9606.ENSP00000484789,False,pp,0.8,,0.0,0.0,0.0,0.0,0.8,0.0,0.0
77596,9606.ENSP00000377969 (pp) 9606.ENSP00000479461,pp,9606.ENSP00000377969 (pp) 9606.ENSP00000479461,False,pp,0.842,,0.0,0.0,0.0,0.0,0.834,0.0,0.087
77599,9606.ENSP00000377969 (pp) 9606.ENSP00000462667,pp,9606.ENSP00000377969 (pp) 9606.ENSP00000462667,False,pp,0.842,,0.0,0.0,0.0,0.0,0.834,0.0,0.091
