SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
7680,9606.ENSP00000283875 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000283875 (pp) 9606.ENSP00000293777,False,pp,0.841,,0.0,0.0,0.0,0.162,0.812,0.0,0.072
7683,9606.ENSP00000283875 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000283875 (pp) 9606.ENSP00000326767,False,pp,0.853,,0.0,0.0,0.0,0.25,0.812,0.0,0.0
7428,9606.ENSP00000237380 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000354633,False,pp,0.82,,0.0,0.0,0.0,0.138,0.8,0.0,0.0
7686,9606.ENSP00000283875 (pp) 9606.ENSP00000292035,pp,9606.ENSP00000283875 (pp) 9606.ENSP00000292035,False,pp,0.882,,0.0,0.0,0.0,0.149,0.812,0.0,0.324
7689,9606.ENSP00000283875 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000283875 (pp) 9606.ENSP00000357047,False,pp,0.907,,0.0,0.0,0.0,0.424,0.812,0.0,0.218
7434,9606.ENSP00000237380 (pp) 9606.ENSP00000261884,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000261884,False,pp,0.994,,0.0,0.0,0.0,0.042,0.994,0.0,0.08
7692,9606.ENSP00000283875 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000283875 (pp) 9606.ENSP00000354633,False,pp,0.992,,0.0,0.0,0.0,0.067,0.905,0.9,0.261
7695,9606.ENSP00000283875 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000283875 (pp) 9606.ENSP00000312709,False,pp,0.995,,0.0,0.0,0.0,0.102,0.8,0.9,0.757
7440,9606.ENSP00000237380 (pp) 9606.ENSP00000292035,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000292035,False,pp,0.999,,0.0,0.0,0.0,0.045,0.999,0.8,0.787
7698,9606.ENSP00000283875 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000283875 (pp) 9606.ENSP00000377969,False,pp,0.999,,0.0,0.0,0.0,0.142,0.992,0.9,0.936
7701,9606.ENSP00000290663 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000377969,False,pp,0.82,,0.0,0.0,0.0,0.082,0.812,0.0,0.0
7446,9606.ENSP00000237380 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000293777,False,pp,0.999,,0.0,0.0,0.0,0.042,0.999,0.8,0.721
7704,9606.ENSP00000290663 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000312709,False,pp,0.827,,0.0,0.0,0.0,0.042,0.8,0.0,0.172
7707,9606.ENSP00000290663 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000354633,False,pp,0.86,,0.0,0.0,0.0,0.094,0.8,0.0,0.292
7452,9606.ENSP00000237380 (pp) 9606.ENSP00000263205,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000263205,False,pp,0.999,,0.0,0.0,0.0,0.0,0.998,0.8,0.511
7710,9606.ENSP00000290663 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000326767,False,pp,0.976,,0.0,0.0,0.0,0.0,0.818,0.8,0.405
7713,9606.ENSP00000290663 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000357047,False,pp,0.996,,0.0,0.0,0.0,0.0,0.959,0.8,0.569
7458,9606.ENSP00000237380 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000357047,False,pp,0.999,,0.0,0.0,0.0,0.042,0.998,0.8,0.71
7716,9606.ENSP00000290663 (pp) 9606.ENSP00000292035,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000292035,False,pp,0.998,,0.0,0.0,0.0,0.085,0.964,0.8,0.772
7719,9606.ENSP00000290663 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000290663 (pp) 9606.ENSP00000293777,False,pp,0.999,,0.0,0.0,0.0,0.119,0.984,0.9,0.995
7464,9606.ENSP00000237380 (pp) 9606.ENSP00000255764,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000255764,False,pp,0.999,,0.0,0.0,0.0,0.119,0.998,0.8,0.781
7722,9606.ENSP00000292035 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000292035 (pp) 9606.ENSP00000354633,False,pp,0.803,,0.0,0.0,0.0,0.057,0.8,0.0,0.0
7725,9606.ENSP00000292035 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000292035 (pp) 9606.ENSP00000312709,False,pp,0.808,,0.0,0.0,0.0,0.049,0.801,0.0,0.068
7470,9606.ENSP00000237380 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000326767,False,pp,0.999,,0.0,0.0,0.0,0.0,0.998,0.8,0.121
7728,9606.ENSP00000292035 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000292035 (pp) 9606.ENSP00000377969,False,pp,0.87,,0.0,0.0,0.0,0.152,0.812,0.0,0.252
7731,9606.ENSP00000292035 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000292035 (pp) 9606.ENSP00000326767,False,pp,0.984,,0.0,0.0,0.0,0.164,0.886,0.8,0.27
7476,9606.ENSP00000237380 (pp) 9606.ENSP00000258648,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000258648,False,pp,0.999,,0.0,0.0,0.0,0.14,0.998,0.8,0.327
7734,9606.ENSP00000292035 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000292035 (pp) 9606.ENSP00000357047,False,pp,0.997,,0.0,0.0,0.0,0.109,0.958,0.8,0.707
7737,9606.ENSP00000292035 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000292035 (pp) 9606.ENSP00000293777,False,pp,0.999,,0.0,0.0,0.0,0.082,0.962,0.8,0.953
7482,9606.ENSP00000237380 (pp) 9606.ENSP00000290663,pp,9606.ENSP00000237380 (pp) 9606.ENSP00000290663,False,pp,0.999,,0.0,0.0,0.0,0.042,0.998,0.8,0.676
7740,9606.ENSP00000293777 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000293777 (pp) 9606.ENSP00000312709,False,pp,0.801,,0.0,0.0,0.0,0.049,0.8,0.0,0.0
7743,9606.ENSP00000293777 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000293777 (pp) 9606.ENSP00000354633,False,pp,0.806,,0.0,0.0,0.0,0.049,0.8,0.0,0.064
7746,9606.ENSP00000293777 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000293777 (pp) 9606.ENSP00000377969,False,pp,0.84,,0.0,0.0,0.0,0.081,0.812,0.0,0.149
7491,9606.ENSP00000245810 (pp) 9606.ENSP00000313423,pp,9606.ENSP00000245810 (pp) 9606.ENSP00000313423,False,pp,0.999,,0.0,0.0,0.0,0.047,0.292,0.4,0.999
7749,9606.ENSP00000293777 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000293777 (pp) 9606.ENSP00000326767,False,pp,0.984,,0.0,0.0,0.0,0.109,0.886,0.8,0.318
7494,9606.ENSP00000255764 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000312709,False,pp,0.814,,0.0,0.0,0.0,0.049,0.8,0.0,0.103
7752,9606.ENSP00000293777 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000293777 (pp) 9606.ENSP00000357047,False,pp,0.996,,0.0,0.0,0.0,0.172,0.957,0.8,0.51
7497,9606.ENSP00000255764 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000354633,False,pp,0.815,,0.0,0.0,0.0,0.116,0.8,0.0,0.0
7500,9606.ENSP00000255764 (pp) 9606.ENSP00000283875,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000283875,False,pp,0.925,,0.0,0.0,0.0,0.042,0.925,0.0,0.0
7758,9606.ENSP00000302961 (pp) 9606.ENSP00000370521,pp,9606.ENSP00000302961 (pp) 9606.ENSP00000370521,False,pp,0.831,,0.0,0.0,0.0,0.057,0.287,0.0,0.769
7503,9606.ENSP00000255764 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000377969,False,pp,0.929,,0.0,0.0,0.0,0.067,0.925,0.0,0.065
7506,9606.ENSP00000255764 (pp) 9606.ENSP00000261884,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000261884,False,pp,0.994,,0.0,0.0,0.0,0.063,0.994,0.0,0.0
7764,9606.ENSP00000302961 (pp) 9606.ENSP00000497594,pp,9606.ENSP00000302961 (pp) 9606.ENSP00000497594,False,pp,0.938,,0.0,0.0,0.0,0.16,0.51,0.0,0.863
7509,9606.ENSP00000255764 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000326767,False,pp,0.996,,0.0,0.0,0.0,0.0,0.974,0.8,0.311
7767,9606.ENSP00000312709 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000312709 (pp) 9606.ENSP00000326767,False,pp,0.8,,0.0,0.0,0.0,0.0,0.8,0.0,0.0
7512,9606.ENSP00000255764 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000357047,False,pp,0.998,,0.0,0.0,0.0,0.0,0.979,0.8,0.77
7770,9606.ENSP00000312709 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000312709 (pp) 9606.ENSP00000357047,False,pp,0.843,,0.0,0.0,0.0,0.047,0.8,0.0,0.245
7515,9606.ENSP00000255764 (pp) 9606.ENSP00000258648,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000258648,False,pp,0.999,,0.0,0.0,0.0,0.126,0.986,0.8,0.868
7773,9606.ENSP00000312709 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000312709 (pp) 9606.ENSP00000377969,False,pp,0.996,,0.0,0.0,0.0,0.049,0.8,0.9,0.856
7518,9606.ENSP00000255764 (pp) 9606.ENSP00000290663,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000290663,False,pp,0.999,,0.0,0.0,0.0,0.126,0.984,0.8,0.948
7776,9606.ENSP00000312709 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000312709 (pp) 9606.ENSP00000354633,False,pp,0.999,,0.0,0.0,0.0,0.06,0.998,0.9,0.795
7521,9606.ENSP00000255764 (pp) 9606.ENSP00000263205,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000263205,False,pp,0.999,,0.0,0.0,0.0,0.049,0.976,0.8,0.911
7779,9606.ENSP00000326767 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000326767 (pp) 9606.ENSP00000354633,False,pp,0.8,,0.0,0.0,0.0,0.0,0.8,0.0,0.0
7524,9606.ENSP00000255764 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000293777,False,pp,0.999,,0.0,0.0,0.0,0.118,0.984,0.8,0.974
7782,9606.ENSP00000326767 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000326767 (pp) 9606.ENSP00000377969,False,pp,0.859,,0.0,0.0,0.0,0.282,0.812,0.0,0.0
7527,9606.ENSP00000255764 (pp) 9606.ENSP00000292035,pp,9606.ENSP00000255764 (pp) 9606.ENSP00000292035,False,pp,0.999,,0.0,0.0,0.0,0.098,0.978,0.8,0.899
7785,9606.ENSP00000326767 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000326767 (pp) 9606.ENSP00000357047,False,pp,0.999,,0.0,0.0,0.0,0.179,0.987,0.8,0.648
7530,9606.ENSP00000258648 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000312709,False,pp,0.824,,0.0,0.0,0.0,0.083,0.8,0.0,0.118
7533,9606.ENSP00000258648 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000354633,False,pp,0.851,,0.0,0.0,0.0,0.21,0.8,0.0,0.137
7536,9606.ENSP00000258648 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000377969,False,pp,0.862,,0.0,0.0,0.0,0.217,0.831,0.0,0.0
7794,9606.ENSP00000346839 (pp) 9606.ENSP00000361423,pp,9606.ENSP00000346839 (pp) 9606.ENSP00000361423,False,pp,0.963,,0.0,0.0,0.0,0.078,0.9,0.0,0.634
7539,9606.ENSP00000258648 (pp) 9606.ENSP00000283875,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000283875,False,pp,0.908,,0.0,0.0,0.0,0.43,0.812,0.0,0.213
7797,9606.ENSP00000354633 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000354633 (pp) 9606.ENSP00000357047,False,pp,0.824,,0.0,0.0,0.0,0.082,0.8,0.0,0.123
7542,9606.ENSP00000258648 (pp) 9606.ENSP00000261884,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000261884,False,pp,0.994,,0.0,0.0,0.0,0.064,0.994,0.0,0.0
7800,9606.ENSP00000354633 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000354633 (pp) 9606.ENSP00000377969,False,pp,0.991,,0.0,0.0,0.0,0.149,0.905,0.9,0.051
7545,9606.ENSP00000258648 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000326767,False,pp,0.996,,0.0,0.0,0.0,0.394,0.95,0.8,0.412
7803,9606.ENSP00000357047 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000357047 (pp) 9606.ENSP00000377969,False,pp,0.888,,0.0,0.0,0.0,0.101,0.812,0.0,0.392
7548,9606.ENSP00000258648 (pp) 9606.ENSP00000292035,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000292035,False,pp,0.998,,0.0,0.0,0.0,0.183,0.974,0.8,0.707
7551,9606.ENSP00000258648 (pp) 9606.ENSP00000263205,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000263205,False,pp,0.998,,0.0,0.0,0.0,0.252,0.968,0.8,0.682
7809,9606.ENSP00000359364 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000359364 (pp) 9606.ENSP00000451291,False,pp,0.943,,0.0,0.0,0.0,0.055,0.056,0.0,0.941
7554,9606.ENSP00000258648 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000357047,False,pp,0.999,,0.0,0.0,0.0,0.393,0.966,0.8,0.941
7812,9606.ENSP00000370119 (pp) 9606.ENSP00000412566,pp,9606.ENSP00000370119 (pp) 9606.ENSP00000412566,False,pp,0.947,,0.0,0.0,0.0,0.09,0.078,0.9,0.449
7557,9606.ENSP00000258648 (pp) 9606.ENSP00000290663,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000290663,False,pp,0.999,,0.0,0.0,0.0,0.06,0.975,0.9,0.769
7815,9606.ENSP00000370119 (pp) 9606.ENSP00000393388,pp,9606.ENSP00000370119 (pp) 9606.ENSP00000393388,False,pp,0.985,,0.0,0.0,0.0,0.145,0.81,0.9,0.206
7560,9606.ENSP00000258648 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000293777,False,pp,0.999,,0.0,0.0,0.0,0.211,0.973,0.9,0.728
7563,9606.ENSP00000261884 (pp) 9606.ENSP00000293777,pp,9606.ENSP00000261884 (pp) 9606.ENSP00000293777,False,pp,0.994,,0.0,0.0,0.0,0.06,0.994,0.0,0.0
7308,9606.ENSP00000215829 (pp) 9606.ENSP00000463058,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000463058,False,pp,0.876,,0.0,0.0,0.0,0.38,0.801,0.0,0.073
7821,9606.ENSP00000370521 (pp) 9606.ENSP00000454264,pp,9606.ENSP00000370521 (pp) 9606.ENSP00000454264,False,pp,0.975,,0.0,0.0,0.0,0.0,0.737,0.0,0.91
7566,9606.ENSP00000261884 (pp) 9606.ENSP00000263205,pp,9606.ENSP00000261884 (pp) 9606.ENSP00000263205,False,pp,0.994,,0.0,0.0,0.0,0.049,0.994,0.0,0.0
7824,9606.ENSP00000380336 (pp) 9606.ENSP00000412566,pp,9606.ENSP00000380336 (pp) 9606.ENSP00000412566,False,pp,0.986,,0.0,0.0,0.0,0.163,0.829,0.9,0.165
7569,9606.ENSP00000261884 (pp) 9606.ENSP00000290663,pp,9606.ENSP00000261884 (pp) 9606.ENSP00000290663,False,pp,0.994,,0.0,0.0,0.0,0.127,0.994,0.0,0.0
7827,9606.ENSP00000380336 (pp) 9606.ENSP00000393388,pp,9606.ENSP00000380336 (pp) 9606.ENSP00000393388,False,pp,0.987,,0.0,0.0,0.0,0.433,0.8,0.9,0.0
7572,9606.ENSP00000261884 (pp) 9606.ENSP00000326767,pp,9606.ENSP00000261884 (pp) 9606.ENSP00000326767,False,pp,0.994,,0.0,0.0,0.0,0.049,0.994,0.0,0.0
7575,9606.ENSP00000261884 (pp) 9606.ENSP00000357047,pp,9606.ENSP00000261884 (pp) 9606.ENSP00000357047,False,pp,0.994,,0.0,0.0,0.0,0.107,0.994,0.0,0.0
7578,9606.ENSP00000261884 (pp) 9606.ENSP00000292035,pp,9606.ENSP00000261884 (pp) 9606.ENSP00000292035,False,pp,0.994,,0.0,0.0,0.0,0.078,0.994,0.0,0.0
7836,9606.ENSP00000385300 (pp) 9606.ENSP00000403980,pp,9606.ENSP00000385300 (pp) 9606.ENSP00000403980,False,pp,0.824,,0.0,0.0,0.0,0.0,0.0,0.65,0.519
7581,9606.ENSP00000263205 (pp) 9606.ENSP00000354633,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000354633,False,pp,0.807,,0.0,0.0,0.0,0.049,0.8,0.0,0.067
7839,9606.ENSP00000393388 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000393388 (pp) 9606.ENSP00000451291,False,pp,0.834,,0.0,0.0,0.0,0.711,0.279,0.0,0.27
7584,9606.ENSP00000263205 (pp) 9606.ENSP00000312709,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000312709,False,pp,0.82,,0.0,0.0,0.0,0.0,0.8,0.0,0.141
7842,9606.ENSP00000393388 (pp) 9606.ENSP00000463058,pp,9606.ENSP00000393388 (pp) 9606.ENSP00000463058,False,pp,0.881,,0.0,0.0,0.0,0.371,0.8,0.0,0.133
7587,9606.ENSP00000263205 (pp) 9606.ENSP00000283875,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000283875,False,pp,0.837,,0.0,0.0,0.0,0.172,0.812,0.0,0.0
7845,9606.ENSP00000393388 (pp) 9606.ENSP00000412566,pp,9606.ENSP00000393388 (pp) 9606.ENSP00000412566,False,pp,0.999,,0.0,0.0,0.0,0.298,0.986,0.9,0.955
7590,9606.ENSP00000263205 (pp) 9606.ENSP00000377969,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000377969,False,pp,0.878,,0.0,0.0,0.0,0.331,0.812,0.0,0.108
7335,9606.ENSP00000215829 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000451291,False,pp,0.94,,0.0,0.0,0.0,0.656,0.259,0.72,0.27
7848,9606.ENSP00000412566 (pp) 9606.ENSP00000463058,pp,9606.ENSP00000412566 (pp) 9606.ENSP00000463058,False,pp,0.862,,0.0,0.0,0.0,0.147,0.825,0.0,0.151
7593,9606.ENSP00000263205 (pp) 9606.ENSP00000290663,pp,9606.ENSP00000263205 (pp) 9606.ENSP00000290663,False,pp,0.996,,0.0,0.0,0.0,0.049,0.952,0.8,0.69
7851,9606.ENSP00000412566 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000412566 (pp) 9606.ENSP00000451291,False,pp,0.889,,0.0,0.0,0.0,0.24,0.274,0.72,0.366
