"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"107","15","Monarch Phenotype","","Keratoconus","3.17E-9","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|PDE6G|PCARE|LRAT|AIPL1|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9415|9287|9195|9271|9315|9439|9471|9175|9083|9299","2.6E-13","","HP:0000563","1.0","0"
"86","14","Monarch Phenotype","","Progressive night blindness","3.17E-9","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9415|9287|9195|9271|9315|9439|9175|9083|9299","2.67E-13","","HP:0007675","1.0","0"
"111","15","Monarch Phenotype","","Abnormality of fundus pigmentation","3.17E-9","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|TYR|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9415|9287|9195|9491|9271|9315|9439|9175|9083|9299","4.21E-13","","HP:0031605","1.0","0"
"28","10","STRING Clusters","","Mixed, incl. Photoreceptor disc membrane, and Protein localization to photoreceptor outer segment","4.23E-9","IMPG2|TULP1|GUCA1B|PRPH2|GUCY2D|PDE6A|PDE6G|PCARE|PDE6B|PRCD","8815","9071|9223|9211|9259|9415|9287|9271|9315|9175|9299","9.25E-13","","CL:24495","0.9852592094682633","0"
"123","14","Monarch Phenotype","","Constriction of peripheral visual field","3.74E-8","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9415|9287|9195|9271|9315|9439|9175|9083|9299","2.15E-11","","HP:0001133","0.8738887147173576","0"
"59","11","STRING Clusters","","Phototransduction, and Retinitis pigmentosa","4.28E-8","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|PDE6G|PCARE|PDE6B|PRCD","8815","9071|9223|9211|9259|9243|9415|9287|9271|9315|9175|9299","2.8E-11","","CL:24492","0.8669970127253307","0"
"141","15","DISEASES","","Retinitis pigmentosa","4.49E-8","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|C12orf4|RPE65|PDE6G|PCARE|LRAT|SEC31B|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9103|9195|9271|9315|9439|9475|9175|9083|9299","9.77E-12","","DOID:10584","0.8645493462887743","0"
"132","14","Monarch Phenotype","","Hyperinsulinemia","7.78E-8","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9175|9083|9299|9311","5.1E-11","","HP:0000842","0.8364595803577012","0"
"97","12","UniProt Keywords","","Retinitis pigmentosa","9.17E-8","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9175|9083|9299","2.53E-10","","KW-0682","0.8280597407914635","0"
"116","13","UniProt Keywords","","Vision","9.17E-8","TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|PDE6G|PCARE|LRAT|AIPL1|PDE6B|PRCD","8815","9223|9211|9259|9243|9415|9287|9195|9271|9315|9439|9471|9175|9299","1.36E-10","","KW-0844","0.8280597407914635","0"
"136","14","Monarch Phenotype","","Abnormal circulating insulin concentration","9.97E-8","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9175|9083|9299|9311","7.35E-11","","HP:0040214","0.8237855819565693","0"
"48","10","Monarch Phenotype","","Attenuation of retinal blood vessels","1.07E-7","IMPG2|PRPH2|PDE6A|RPE65|PDE6G|PCARE|LRAT|AIPL1|PROM1|PRCD","8815","9071|9259|9287|9195|9271|9315|9439|9471|9083|9299","8.76E-11","","HP:0007843","0.8201747061638806","0"
"200","16","Monarch Phenotype","","Abnormal electroretinogram","1.14E-7","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|PDE6G|PCARE|LRAT|AIPL1|PDE6B|PROM1|PRCD|CYP2D6","8815","9071|9223|9211|9259|9243|9415|9287|9195|9271|9315|9439|9471|9175|9083|9299|9003","1.02E-10","","HP:0000512","0.816936529254502","0"
"227","17","DISEASES","","Retinal degeneration","1.57E-7","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|C12orf4|RPE65|PDE6G|PCARE|LRAT|SEC31B|AIPL1|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9415|9287|9103|9195|9271|9315|9439|9475|9471|9175|9083|9299","6.83E-11","","DOID:8466","0.8005821616502127","0"
"146","14","Monarch Phenotype","","Atypical scarring of skin","1.64E-7","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|COL6A3|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9195|8979|9271|9315|9439|9175|9083|9299","1.75E-10","","HP:0000987","0.7983531549747988","0"
"145","14","Monarch Phenotype","","Type II diabetes mellitus","1.64E-7","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9175|9083|9299|9311","1.61E-10","","HP:0005978","0.7983531549747988","0"
