"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"6642","59","TISSUES","","Head","1.2E-4","MTMR9|PRPH2|GNB4|GPR83|APOL2|GUCY2D|SRSF1|C12orf4|HACD3|TIMP2|EIF4H|GNA12|PWP2|ADH5|PCDHGC4|BTN2A1|PPFIBP1|FAIM2|BMP8A|GRIK1|PDE6G|ETFB|FN1|NEGR1|LZTS3|EFCAB2|SIPA1L2|TMEM9|IGSF3|FNDC5|SRSF3|TPRG1L|PTPRA|ADRA1A|BNIP3L|SMN2|HMG20A|TAGLN3|GTF2F1|HLA-A|DYNC1I2|ARHGEF12|CBS|NSF|GNAT3|BTBD3|MTA3|SNRPG|CRYZ|COPG2|ANP32A|GNGT2|RNF150|RGS6|HNRNPC|RBM8A|SALL2|RPL9|ARHGEF7","11776","11864|11916|12000|11980|11940|11988|12124|11820|12088|12180|12128|12072|11828|11948|11852|11992|11892|11904|11920|11956|11976|11896|12136|11912|12096|11888|12104|11803|12020|12064|12172|12068|12048|12040|11848|12148|11832|11860|12132|11872|12036|12024|12012|12152|12100|12052|12188|12164|11964|12160|12184|11924|12076|12084|12168|12176|11840|12116|12016","4.78E-8","","BTO:0000282","1.0","0"
"6","4","STRING Clusters","","Mixed, incl. Scalp-ear-nipple syndrome, and RNA methyltransferase Bin3-like","5.1E-4","FAIM2|NEGR1|TMEM18|KCTD15","11776","11904|11912|11932|11944","1.11E-7","","CL:25670","0.8397301764033686","0"
"80","7","Reactome Pathways","","G alpha (12/13) signalling events","5.3E-4","GNB4|GNA12|ARHGEF1|ADRA1A|ARHGEF12|GNGT2|ARHGEF7","11776","12000|12072|12008|12040|12024|11924|12016","2.31E-7","","HSA-416482","0.8354694098259763","0"
"5825","51","TISSUES","","Central nervous system","0.0023","MTMR9|GNB4|GPR83|APOL2|SRSF1|HACD3|TIMP2|EIF4H|GNA12|PWP2|ADH5|PCDHGC4|PPFIBP1|FAIM2|BMP8A|GRIK1|ETFB|FN1|NEGR1|LZTS3|EFCAB2|SIPA1L2|TMEM9|IGSF3|FNDC5|SRSF3|TPRG1L|PTPRA|ADRA1A|BNIP3L|SMN2|HMG20A|TAGLN3|HLA-A|DYNC1I2|ARHGEF12|CBS|NSF|BTBD3|MTA3|SNRPG|KCTD15|CRYZ|COPG2|ANP32A|RGS6|HNRNPC|RBM8A|SALL2|RPL9|ARHGEF7","11776","11864|12000|11980|11940|12124|12088|12180|12128|12072|11828|11948|11852|11892|11904|11920|11956|11896|12136|11912|12096|11888|12104|11803|12020|12064|12172|12068|12048|12040|11848|12148|11832|11860|11872|12036|12024|12012|12152|12052|12188|12164|11944|11964|12160|12184|12084|12168|12176|11840|12116|12016","1.93E-6","","BTO:0000227","0.672888069952966","0"
"5733","50","TISSUES","","Brain","0.0025","MTMR9|GNB4|GPR83|APOL2|SRSF1|HACD3|TIMP2|EIF4H|GNA12|PWP2|ADH5|PCDHGC4|PPFIBP1|FAIM2|BMP8A|GRIK1|ETFB|FN1|NEGR1|LZTS3|EFCAB2|SIPA1L2|TMEM9|IGSF3|FNDC5|SRSF3|TPRG1L|PTPRA|ADRA1A|BNIP3L|SMN2|HMG20A|TAGLN3|HLA-A|DYNC1I2|ARHGEF12|CBS|NSF|BTBD3|MTA3|SNRPG|CRYZ|COPG2|ANP32A|RGS6|HNRNPC|RBM8A|SALL2|RPL9|ARHGEF7","11776","11864|12000|11980|11940|12124|12088|12180|12128|12072|11828|11948|11852|11892|11904|11920|11956|11896|12136|11912|12096|11888|12104|11803|12020|12064|12172|12068|12048|12040|11848|12148|11832|11860|11872|12036|12024|12012|12152|12052|12188|12164|11964|12160|12184|12084|12168|12176|11840|12116|12016","3.1E-6","","BTO:0000142","0.6636521998638575","0"
"35","5","GO Cellular Component","","Heterotrimeric G-protein complex","0.003","GNB4|GNA12|GNAT3|GNGT2|GNG14","11776","12000|12072|12100|11924|12056","1.46E-6","","GO:0005834","0.6434571204642279","0"
"169","8","STRING Clusters","","Mixed, incl. Photoreceptor outer segment, and Calcium regulation in cardiac cells","0.0039","PRPH2|GNB4|GUCY2D|PDE6G|ADRA1A|GNGT2|RGS6|GNG14","11776","11916|12000|11988|11976|12040|11924|12084|12056","2.56E-6","","CL:24306","0.6143960086257946","0"
"5","3","STRING Clusters","","Regulator of G protein signalling-like domain, and RII binding domain","0.0057","GNA12|ARHGEF1|ARHGEF12","11776","12072|12008|12024","6.27E-6","","CL:17979","0.5723613574499768","0"
"203","8","Reactome Pathways","","mRNA Splicing - Major Pathway","0.0107","SRSF1|SNRPD1|SRSF3|GTF2F1|SMU1|SNRPG|HNRNPC|RBM8A","11776","12124|12156|12172|12132|12144|12164|12168|12176","9.35E-6","","HSA-72163","0.5026032433476588","0"
"132","6","KEGG Pathways","","Spliceosome","0.0203","SRSF1|SNRPD1|SRSF3|SNRPG|HNRNPC|RBM8A","11776","12124|12156|12172|12164|12168|12176","6.04E-5","","hsa03040","0.43167105349632934","0"
