SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
19970,9606.ENSP00000265753 (pp) 9606.ENSP00000300413,pp,9606.ENSP00000265753 (pp) 9606.ENSP00000300413,False,pp,0.595,,0.0,0.0,0.0,0.248,0.235,0.0,0.353
19973,9606.ENSP00000265753 (pp) 9606.ENSP00000393388,pp,9606.ENSP00000265753 (pp) 9606.ENSP00000393388,False,pp,0.603,,0.0,0.0,0.0,0.257,0.279,0.0,0.319
19976,9606.ENSP00000275364 (pp) 9606.ENSP00000381339,pp,9606.ENSP00000275364 (pp) 9606.ENSP00000381339,False,pp,0.592,,0.0,0.0,0.085,0.0,0.071,0.54,0.079
19979,9606.ENSP00000275364 (pp) 9606.ENSP00000492612,pp,9606.ENSP00000275364 (pp) 9606.ENSP00000492612,False,pp,0.667,,0.0,0.0,0.0,0.0,0.259,0.54,0.102
19982,9606.ENSP00000275364 (pp) 9606.ENSP00000421710,pp,9606.ENSP00000275364 (pp) 9606.ENSP00000421710,False,pp,0.732,,0.0,0.0,0.0,0.05,0.259,0.54,0.271
19985,9606.ENSP00000275364 (pp) 9606.ENSP00000451030,pp,9606.ENSP00000275364 (pp) 9606.ENSP00000451030,False,pp,0.733,,0.0,0.0,0.0,0.091,0.288,0.0,0.62
19988,9606.ENSP00000275364 (pp) 9606.ENSP00000369960,pp,9606.ENSP00000275364 (pp) 9606.ENSP00000369960,False,pp,0.968,,0.0,0.0,0.0,0.0,0.128,0.9,0.672
19991,9606.ENSP00000275364 (pp) 9606.ENSP00000337261,pp,9606.ENSP00000275364 (pp) 9606.ENSP00000337261,False,pp,0.999,,0.0,0.0,0.0,0.0,0.593,0.9,0.991
19994,9606.ENSP00000275364 (pp) 9606.ENSP00000380942,pp,9606.ENSP00000275364 (pp) 9606.ENSP00000380942,False,pp,0.999,,0.0,0.0,0.0,0.054,0.555,0.9,0.996
20000,9606.ENSP00000292401 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000292401 (pp) 9606.ENSP00000346839,False,pp,0.522,,0.0,0.0,0.0,0.0,0.0,0.0,0.522
