"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"97","9","UniProt Keywords","","Retinitis pigmentosa","1.38E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947","2.06E-9","","KW-0682","1.0","0"
"107","10","Monarch Phenotype","","Keratoconus","2.85E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|AIPL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13651|13775|13947","2.34E-10","","HP:0000563","0.9462526834768245","0"
"132","10","Monarch Phenotype","","Hyperinsulinemia","2.85E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947|13803","1.58E-9","","HP:0000842","0.9462526834768245","0"
"86","9","Monarch Phenotype","","Progressive night blindness","2.85E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947","7.68E-10","","HP:0007675","0.9462526834768245","0"
"111","10","Monarch Phenotype","","Abnormality of fundus pigmentation","2.85E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|PCARE|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13951|13935|13967|13775|13947","3.26E-10","","HP:0031605","0.9462526834768245","0"
"39","7","Monarch Phenotype","","Bone spicule pigmentation of the retina","3.15E-6","IMPG2|TULP1|CNGB1|RPE65|PCARE|PROM1|PRCD","13575","13759|13895|13919|13851|13967|13775|13947","2.15E-9","","HP:0007737","0.9388354826337112","0"
"136","10","Monarch Phenotype","","Abnormal circulating insulin concentration","3.15E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947|13803","2.07E-9","","HP:0040214","0.9388354826337112","0"
"145","10","Monarch Phenotype","","Type II diabetes mellitus","4.51E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947|13803","3.7E-9","","HP:0005978","0.9122377399614289","0"
"247","12","Monarch Phenotype","","Abnormal visual electrophysiology","4.52E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|PCARE|AIPL1|PROM1|PRCD|CYP2D6","13575","13759|13895|13879|13919|13851|13951|13935|13967|13651|13775|13947|13631","4.08E-9","","HP:0030453","0.9120735977965139","0"
"200","11","Monarch Phenotype","","Abnormal electroretinogram","5.65E-6","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|AIPL1|PROM1|PRCD|CYP2D6","13575","13759|13895|13879|13919|13851|13935|13967|13651|13775|13947|13631","5.55E-9","","HP:0000512","0.8955363941386216","0"
