SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
104449,9606.ENSP00000419087 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000419087 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.278,0.994,0.967,0.807
104458,9606.ENSP00000431885 (pp) 9606.ENSP00000450565,pp,9606.ENSP00000431885 (pp) 9606.ENSP00000450565,False,pp,0.857,,0.0,0.0,0.0,0.075,0.048,0.65,0.591
104461,9606.ENSP00000441126 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000441126 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.444,0.991,0.967,0.568
104275,9606.ENSP00000229030 (pp) 9606.ENSP00000368166,pp,9606.ENSP00000229030 (pp) 9606.ENSP00000368166,False,pp,0.832,,0.0,0.0,0.0,0.052,0.169,0.65,0.465
104302,9606.ENSP00000229030 (pp) 9606.ENSP00000359864,pp,9606.ENSP00000229030 (pp) 9606.ENSP00000359864,False,pp,0.904,,0.0,0.0,0.0,0.0,0.052,0.9,0.073
104311,9606.ENSP00000229771 (pp) 9606.ENSP00000467661,pp,9606.ENSP00000229771 (pp) 9606.ENSP00000467661,False,pp,0.777,,0.0,0.0,0.0,0.042,0.0,0.0,0.777
104317,9606.ENSP00000229771 (pp) 9606.ENSP00000332809,pp,9606.ENSP00000229771 (pp) 9606.ENSP00000332809,False,pp,0.788,,0.0,0.0,0.0,0.087,0.0,0.0,0.778
104323,9606.ENSP00000229771 (pp) 9606.ENSP00000230361,pp,9606.ENSP00000229771 (pp) 9606.ENSP00000230361,False,pp,0.797,,0.0,0.0,0.0,0.094,0.0,0.0,0.785
104329,9606.ENSP00000229771 (pp) 9606.ENSP00000262340,pp,9606.ENSP00000229771 (pp) 9606.ENSP00000262340,False,pp,0.918,,0.0,0.0,0.0,0.0,0.0,0.0,0.918
104335,9606.ENSP00000229771 (pp) 9606.ENSP00000370521,pp,9606.ENSP00000229771 (pp) 9606.ENSP00000370521,False,pp,0.921,,0.0,0.0,0.0,0.109,0.0,0.0,0.914
104338,9606.ENSP00000230361 (pp) 9606.ENSP00000262340,pp,9606.ENSP00000230361 (pp) 9606.ENSP00000262340,False,pp,0.737,,0.0,0.0,0.0,0.086,0.0,0.0,0.725
