SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
115712,9606.ENSP00000254854 (pp) 9606.ENSP00000255266,pp,9606.ENSP00000254854 (pp) 9606.ENSP00000255266,False,pp,0.891,,0.0,0.0,0.0,0.1,0.126,0.691,0.604
115970,9606.ENSP00000354665 (pp) 9606.ENSP00000497474,pp,9606.ENSP00000354665 (pp) 9606.ENSP00000497474,False,pp,0.875,,0.0,0.0,0.0,0.0,0.842,0.0,0.244
115973,9606.ENSP00000354665 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000354665 (pp) 9606.ENSP00000419087,False,pp,0.974,,0.0,0.0,0.0,0.0,0.812,0.851,0.165
115718,9606.ENSP00000254854 (pp) 9606.ENSP00000498074,pp,9606.ENSP00000254854 (pp) 9606.ENSP00000498074,False,pp,0.907,,0.0,0.0,0.0,0.0,0.0,0.9,0.115
115721,9606.ENSP00000254854 (pp) 9606.ENSP00000420295,pp,9606.ENSP00000254854 (pp) 9606.ENSP00000420295,False,pp,0.919,,0.0,0.0,0.0,0.086,0.126,0.691,0.712
115976,9606.ENSP00000354665 (pp) 9606.ENSP00000483888,pp,9606.ENSP00000354665 (pp) 9606.ENSP00000483888,False,pp,0.976,,0.0,0.0,0.0,0.0,0.894,0.54,0.55
115979,9606.ENSP00000354665 (pp) 9606.ENSP00000441126,pp,9606.ENSP00000354665 (pp) 9606.ENSP00000441126,False,pp,0.987,,0.0,0.0,0.0,0.0,0.825,0.851,0.549
115724,9606.ENSP00000254854 (pp) 9606.ENSP00000370521,pp,9606.ENSP00000254854 (pp) 9606.ENSP00000370521,False,pp,0.974,,0.0,0.0,0.0,0.161,0.0,0.0,0.97
115727,9606.ENSP00000255266 (pp) 9606.ENSP00000370521,pp,9606.ENSP00000255266 (pp) 9606.ENSP00000370521,False,pp,0.706,,0.0,0.0,0.0,0.128,0.046,0.0,0.675
115982,9606.ENSP00000354665 (pp) 9606.ENSP00000369176,pp,9606.ENSP00000354665 (pp) 9606.ENSP00000369176,False,pp,0.995,,0.0,0.0,0.0,0.0,0.894,0.935,0.382
115985,9606.ENSP00000354665 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000354665 (pp) 9606.ENSP00000458770,False,pp,0.998,,0.0,0.0,0.0,0.0,0.991,0.851,0.257
