"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000092199.19","HNRNPC",8222.20270578523,-0.392003476979731,0.0349504304956228,-11.2159842216772,3.40378574445498e-29,6.7898718030388e-25,"Not Significant"
"ENSG00000112619.8","PRPH2",102.01894902377,-6.03517499598493,0.565944845561031,-10.6638925035215,1.50177491533564e-26,9.98580200370515e-23,"Down-regulated"
"ENSG00000290588.1","ENSG00000290588",75.531007367667,5.68449608514606,0.532045561922818,10.6842279909304,1.20648647815067e-26,9.98580200370515e-23,"Up-regulated"
"ENSG00000112599.9","GUCA1B",79.0324335393014,1.96839556138862,0.207192059196812,9.50034267249037,2.09200738284019e-21,1.0432840818224e-17,"Up-regulated"
"ENSG00000293514.1","CUTALP",689.533907487444,-1.1325622461305,0.120904631338619,-9.36740167511463,7.43400177747633e-21,2.96586934914196e-17,"Down-regulated"
"ENSG00000274276.6","ENSG00000274276",54.5164979040876,3.49906135691668,0.386388069312481,9.05582142622243,1.35543703720684e-19,4.50637633636701e-16,"Up-regulated"
"ENSG00000180346.5","TIGD2",445.676985619657,0.983934201353874,0.109667988604547,8.97193624022644,2.91347053511431e-19,7.26473877930753e-16,"Not Significant"
"ENSG00000183793.14","NPIPA5",42.5694694994023,-3.32823836085417,0.370528838573173,-8.98240032724713,2.64922931005002e-19,7.26473877930753e-16,"Down-regulated"
"ENSG00000137713.16","PPP2R1B",796.253804913429,0.85599427328092,0.0957539949754645,8.93951498838514,3.90882138793338e-19,8.66368544961057e-16,"Not Significant"
"ENSG00000291093.1","SVIL-AS1",326.663805683827,1.90170510125159,0.215243281962132,8.83514265307548,9.99706047591328e-19,1.99421362373518e-15,"Up-regulated"
"ENSG00000183426.17","NPIPA1",278.722232937967,1.28526609135177,0.147140462036071,8.73496027922417,2.43741765465184e-18,4.42014612499953e-15,"Up-regulated"
