"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000137713.16","PPP2R1B",796.253804913429,1.00649691633312,0.09512143950849,10.5811783498428,3.64346862611177e-26,7.47421153960568e-22,"Up-regulated"
"ENSG00000293514.1","CUTALP",689.533907487444,-1.24171951660895,0.121239114141187,-10.2419052250986,1.28677089011459e-24,1.31984090199053e-20,"Down-regulated"
"ENSG00000112619.8","PRPH2",102.01894902377,-6.67018672324825,0.656726079802561,-10.1567258075903,3.09288967810978e-24,2.11491796189146e-20,"Down-regulated"
"ENSG00000290588.1","ENSG00000290588",75.531007367667,6.09856503756895,0.607873102056457,10.0326285485199,1.09560393532808e-23,5.61880478233004e-20,"Up-regulated"
"ENSG00000112599.9","GUCA1B",79.0324335393014,2.06424887340854,0.208268692079007,9.91146990362556,3.71145049584093e-23,1.52273390943362e-19,"Up-regulated"
"ENSG00000213025.2","COX20P1",47.2037159711878,-4.74514442813963,0.514966777291907,-9.21446710231148,3.12828287543773e-20,9.43210395370165e-17,"Down-regulated"
"ENSG00000274276.6","ENSG00000274276",54.5164979040876,3.81831070981802,0.414519427987621,9.21141556224489,3.21852040927715e-20,9.43210395370165e-17,"Up-regulated"
"ENSG00000180346.5","TIGD2",445.676985619657,0.996621482432748,0.10866634263693,9.1713906831539,4.66955458138614e-20,1.19739053353194e-16,"Not Significant"
"ENSG00000183793.14","NPIPA5",42.5694694994023,-3.92069554282885,0.430997305874794,-9.09679826158314,9.30339475263648e-20,2.12055377728428e-16,"Down-regulated"
"ENSG00000291093.1","SVIL-AS1",326.663805683827,1.91716559917846,0.214839084010571,8.92372823133116,4.50849313261704e-19,9.24872281225059e-16,"Up-regulated"
"ENSG00000183426.17","NPIPA1",278.722232937967,1.28615233447937,0.147192093483491,8.73791726200037,2.37447299113076e-18,4.42817626727785e-15,"Up-regulated"
"ENSG00000180616.9","SSTR2",3464.01331149024,1.41980866743283,0.166532451630158,8.5257176816564,1.51865251928725e-17,2.59613648172156e-14,"Up-regulated"
"ENSG00000249378.8","LINC01060",94.1006961852587,9.92995731472959,1.18533963195995,8.37730979964829,5.41511751213255e-17,8.54505543414517e-14,"Up-regulated"
"ENSG00000092199.19","HNRNPC",8222.20270578523,-0.284442737943208,0.0347860520648925,-8.17691922649306,2.91193069810979e-16,4.26681045293031e-13,"Not Significant"
"ENSG00000003096.15","KLHL13",1387.35249488527,1.15418642807441,0.150510144275862,7.66849592515814,1.74024889431002e-14,2.37996438785838e-11,"Up-regulated"
"ENSG00000147647.13","DPYS",31.251148500242,3.12137601006524,0.420506396601927,7.42289780913868,1.14585186823332e-13,1.46912532655864e-10,"Up-regulated"
"ENSG00000275993.4","ENSG00000275993",451.872597881166,-2.12517523513517,0.298203200213898,-7.12660103449865,1.02877730079484e-12,1.24143162050031e-09,"Down-regulated"
"ENSG00000255085.9","ENSG00000255085",43.2286709495886,5.70503719467173,0.804327593542981,7.09292736003451,1.31304387186835e-12,1.4964323326393e-09,"Up-regulated"
"ENSG00000242419.6","PCDHGC4",879.249962625379,-0.636427352617662,0.0926151679856433,-6.87173998017601,6.34234834889774e-12,6.84773336996254e-09,"Not Significant"
"ENSG00000205702.13","CYP2D7",112.03623139599,1.70315716118896,0.248710581345929,6.84794813301513,7.49167152991784e-12,7.68420748823673e-09,"Up-regulated"
"ENSG00000183682.8","BMP8A",212.032225373584,-2.13756549204972,0.315726338339321,-6.77031097023148,1.28505883705564e-11,1.2553189039695e-08,"Down-regulated"
"ENSG00000115414.21","FN1",470.916558369081,-2.57204721078539,0.384753674989454,-6.68491915211955,2.31052165797205e-11,1.97491838715161e-08,"Down-regulated"
"ENSG00000253537.3","PCDHGA7",237.456323647231,5.62111060063764,0.84030302339488,6.689385190985,2.24110125775727e-11,1.97491838715161e-08,"Up-regulated"
"ENSG00000164627.18","KIF6",143.301454418526,1.35629262648734,0.202616530047082,6.69388931975181,2.17315809073523e-11,1.97491838715161e-08,"Up-regulated"
"ENSG00000245105.4","A2M-AS1",132.591675823002,-2.33906186323883,0.351445150282579,-6.65555311080011,2.82236611740183e-11,2.31592074129524e-08,"Down-regulated"
"ENSG00000253731.3","PCDHGA6",267.418436057701,5.34125976459452,0.804966909152992,6.63537805574485,3.23671863370022e-11,2.46491663813028e-08,"Up-regulated"
"ENSG00000076716.9","GPC4",856.176080318995,1.3692048376614,0.20635985796186,6.63503479399786,3.24425997999013e-11,2.46491663813028e-08,"Up-regulated"
"ENSG00000183323.13","CCDC125",175.16311516843,1.19912993380514,0.181727688464515,6.59849879749774,4.15341848772853e-11,3.04297238775939e-08,"Up-regulated"
"ENSG00000007062.12","PROM1",404.085584259995,1.23061714882363,0.187969968193826,6.54688172077935,5.87508567509051e-11,4.1559140530623e-08,"Up-regulated"
"ENSG00000148143.13","ZNF462",1818.67053991119,-0.446754060374351,0.0697037944148195,-6.40932196195287,1.46168227057429e-10,9.78228493110197e-08,"Not Significant"
"ENSG00000282508.2","LINC01002",140.560770020909,1.0939888118435,0.170732955643584,6.40760190509017,1.4782628101012e-10,9.78228493110197e-08,"Up-regulated"
"ENSG00000145335.17","SNCA",10239.4890349432,1.11985853702807,0.176096902949778,6.35933124472635,2.02634011678911e-10,1.29901066111912e-07,"Up-regulated"
"ENSG00000215252.12","GOLGA8B",1150.73829381412,1.15131896285506,0.183169056353698,6.28555382537909,3.26686948775095e-10,2.03080486884009e-07,"Up-regulated"
"ENSG00000290885.1","ENSG00000290885",40.5601698995646,7.90368580392028,1.27206186839019,6.21328726245248,5.18874653576295e-10,3.1306454833718e-07,"Up-regulated"
"ENSG00000158109.15","TPRG1L",2162.84323795689,-0.475435701006335,0.076618025495032,-6.20527216584513,5.46023228673556e-10,3.2003201465741e-07,"Not Significant"
"ENSG00000230453.11","ANKRD18B",41.9847059754885,2.69848943318554,0.435998100763645,6.18922290821718,6.04615334843668e-10,3.44529971638417e-07,"Up-regulated"
"ENSG00000290682.1","STAG3L5P",148.217299440681,1.81655713134739,0.293992062198076,6.17893257989902,6.45364464500803e-10,3.57810989858634e-07,"Up-regulated"
"ENSG00000226686.10","LINC01535",53.7147267214457,3.8219355307688,0.623810506928941,6.12675722565884,8.96881601980331e-10,4.84174452184856e-07,"Up-regulated"
"ENSG00000278817.1","ENSG00000278817",89.8947928958017,-1.30936574897085,0.214427893100972,-6.1063219436395,1.01953256641565e-09,5.3627412993463e-07,"Down-regulated"
"ENSG00000253846.3","PCDHGA10",150.842915938492,2.89803264408783,0.475171826119419,6.09891513929847,1.06790740810748e-09,5.42375699057632e-07,"Up-regulated"
"ENSG00000146707.15","POMZP3",309.537208663407,-1.2614484336245,0.206912803041834,-6.09652189270017,1.08401109785332e-09,5.42375699057632e-07,"Down-regulated"
"ENSG00000205929.11","C21orf62",653.564545503359,-0.765009413469854,0.12569636055767,-6.08616995811001,1.15643682012781e-09,5.64836784002424e-07,"Not Significant"
"ENSG00000075651.17","PLD1",284.787542156591,0.87198470426062,0.143464277647112,6.07806151162935,1.21644095464167e-09,5.80327203337656e-07,"Not Significant"
"ENSG00000146842.17","TMEM209",648.830302300202,-0.467199691298173,0.0773191378381933,-6.04248449169063,1.51758940474101e-09,7.07541569292204e-07,"Not Significant"
"ENSG00000140382.15","HMG20A",1179.35953967322,-0.334927186770027,0.0557502850136312,-6.00763182983076,1.88252724229891e-09,8.58181418855996e-07,"Not Significant"
"ENSG00000170638.10","TRABD",192.669476368729,1.16687289582298,0.194520018138839,5.99872911275448,1.98867784081349e-09,8.86863852748867e-07,"Up-regulated"
"ENSG00000169248.13","CXCL11",53.2497770605149,5.31052684402334,0.893293286815387,5.94488610001257,2.76649151901695e-09,1.20748525576838e-06,"Up-regulated"
"ENSG00000291258.1","ENSG00000291258",60.4132000108437,-4.02847244149151,0.678821621943483,-5.93450814067751,2.94727708940844e-09,1.23388657575765e-06,"Down-regulated"
"ENSG00000198089.16","SFI1",554.289214432278,1.04835666474299,0.176609090727927,5.93602888969078,2.9200836813207e-09,1.23388657575765e-06,"Up-regulated"
"ENSG00000009950.16","MLXIPL",236.338867879628,1.10878214611442,0.186979899284327,5.92995370282223,3.0302010699662e-09,1.24323089498573e-06,"Up-regulated"
"ENSG00000245532.11","NEAT1",3081.01922133829,1.14151400249659,0.192889360541577,5.91797286948102,3.25933714130664e-09,1.31102043366205e-06,"Up-regulated"
"ENSG00000254681.7","PKD1P5",220.011591037796,1.52682629571942,0.258992365963933,5.89525598577698,3.74100965862752e-09,1.47582831032855e-06,"Up-regulated"
"ENSG00000268916.6","CSAG3",32.4182329379096,6.56968948836952,1.12375421934314,5.84619783871393,5.0293585448229e-09,1.94664643751881e-06,"Up-regulated"
"ENSG00000138640.15","FAM13A",700.727746557632,1.03251262908203,0.176891501768501,5.83698266315407,5.31546243500697e-09,2.01928511836543e-06,"Up-regulated"
"ENSG00000109046.15","WSB1",3064.88195369034,0.845766502528292,0.145047117593391,5.83097766133635,5.51035619915296e-09,2.05526267398952e-06,"Not Significant"
"ENSG00000112763.17","BTN2A1",1445.54311559065,-0.619438486271178,0.106315630359846,-5.82641032343569,5.66322756703599e-09,2.07456161268172e-06,"Not Significant"
"ENSG00000226450.2","CYP2D8P",28.0505260101465,1.96466657477221,0.337465205167423,5.82183450230818,5.82051712557686e-09,2.09477347919445e-06,"Up-regulated"
"ENSG00000164877.19","MICALL2",331.328873653343,0.987590160534241,0.170103387001045,5.80582302296056,6.40505893823789e-09,2.26540308722434e-06,"Not Significant"
"ENSG00000116857.17","TMEM9",3433.10981897454,-0.397547685990227,0.0686281222415097,-5.79278104959967,6.92303372310402e-09,2.40710362365688e-06,"Not Significant"
"ENSG00000187627.18","RGPD1",38.4693782122645,4.02105462111181,0.696679505375183,5.77174237233569,7.84560058535448e-09,2.6824108401327e-06,"Up-regulated"
"ENSG00000131584.19","ACAP3",2549.48265212072,0.822057419515696,0.144158945882124,5.70243778133529,1.18106027043331e-08,3.97184760453589e-06,"Not Significant"
"ENSG00000184967.7","NOC4L",302.302035629931,0.793632377412903,0.139509569010573,5.68873076622262,1.27987069826581e-08,4.23472056519756e-06,"Not Significant"
"ENSG00000006071.16","ABCC8",537.61804828266,1.02432234170485,0.180383207576725,5.67859034921065,1.35809293498455e-08,4.42220928067826e-06,"Up-regulated"
"ENSG00000125618.18","PAX8",52.384838986689,7.35675394478876,1.29980515512045,5.65988980410456,1.51470224700683e-08,4.73496865619927e-06,"Up-regulated"
"ENSG00000124772.12","CPNE5",435.02965233247,-0.624184800279112,0.110301273551252,-5.65890837143492,1.52338857028932e-08,4.73496865619927e-06,"Not Significant"
"ENSG00000086475.15","SEPHS1",1140.99344755297,-0.280256626429519,0.0495176613333202,-5.65973066746864,1.51610743538542e-08,4.73496865619927e-06,"Not Significant"
