"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000227232.6","WASH7P",210.556301035761,-0.0563590485919709,0.133518597593675,-0.422106355277061,0.672947389357498,1,"Not Significant"
"ENSG00000243485.5","MIR1302-2HG",1.03081567041868,2.73258673997218,1.79374508692568,1.52339747709391,0.127659292836549,1,"Not Significant"
"ENSG00000238009.7","ENSG00000238009",5.94537873480543,0.147047577941944,0.773164954646208,0.190189140180611,0.849160920690082,1,"Not Significant"
"ENSG00000268903.1","ENSG00000268903",42.5776057768246,0.280227804953895,0.335898458116699,0.834263445343169,0.404132545945219,1,"Not Significant"
"ENSG00000269981.1","ENSG00000269981",71.7976441348744,-0.0369889168508591,0.216398306596422,-0.170929788835374,0.864278973242822,1,"Not Significant"
"ENSG00000239906.1","ENSG00000239906",0.637842592726615,0.0062565753478631,2.31278616157509,0.00270521133851914,0.997841556271929,1,"Not Significant"
"ENSG00000241860.7","ENSG00000241860",15.2787438340733,-0.213493257059637,0.543615552123084,-0.392728383553121,0.694520104573282,1,"Not Significant"
"ENSG00000279928.2","DDX11L17",0.454763471264787,1.63092111378678,4.23742316354864,0.384885117874553,0.700322532367639,1,"Not Significant"
"ENSG00000279457.4","WASH9P",96.1956808495653,-0.146040086786549,0.167078818726499,-0.87407899995756,0.382075232940687,1,"Not Significant"
"ENSG00000292994.1","ENSG00000292994",11.415397885073,1.03659707655599,0.527699747465505,1.9643690972654,0.0494873038789572,1,"Not Significant"
"ENSG00000290385.1","ENSG00000290385",103.17921330782,-0.290782128702151,0.285546559795597,-1.01833525471398,0.308518659684122,1,"Not Significant"
"ENSG00000250575.1","ENSG00000250575",0.677958964724209,-2.35307851429966,2.65710847861563,-0.885578640555025,0.375844625636711,1,"Not Significant"
"ENSG00000293331.1","ENSG00000293331",4.81118548261338,0.245255724153687,0.746975682084791,0.328331604409375,0.742660950599193,1,"Not Significant"
"ENSG00000225630.1","MTND2P28",63.4119164435664,0.0012702219744606,0.323336939706977,0.00392847775330505,0.996865536315513,1,"Not Significant"
"ENSG00000237973.1","MTCO1P12",164.532070102628,0.0702537787998811,0.170432854966161,0.412207956111689,0.680187006127521,1,"Not Significant"
"ENSG00000229344.1","MTCO2P12",1.28560421017881,2.72345346223827,1.72429315393342,1.57946081037647,0.114230398682096,1,"Not Significant"
"ENSG00000248527.1","MTATP6P1",733.088906815647,0.0242500326318022,0.119217397402451,0.20341018307873,0.838814441240005,1,"Not Significant"
"ENSG00000198744.5","MTCO3P12",1.78894255113129,0.626083552181269,1.27161780307846,0.492351987103031,0.622470534779947,1,"Not Significant"
"ENSG00000291215.1","ENSG00000291215",55.7726239216421,-0.233813574941102,0.276393814530192,-0.845943587191102,0.397584215405907,1,"Not Significant"
"ENSG00000237491.10","LINC01409",34.3269775281975,0.0266856919337953,0.291404539956853,0.0915761022039897,0.927034839327985,1,"Not Significant"
"ENSG00000290784.1","ENSG00000290784",3.30186391965219,-2.18961860804328,1.16013338788125,-1.8873852187309,0.0591085317703664,1,"Not Significant"
"ENSG00000177757.2","FAM87B",0.512824441564132,-1.64398506380796,2.96925297759111,-0.553669584981504,0.579804994186772,1,"Not Significant"
"ENSG00000225880.6","LINC00115",27.9115355019655,-0.0125592279470137,0.361726448540799,-0.0347202367913031,0.972302824029036,1,"Not Significant"
"ENSG00000228794.12","LINC01128",1629.03314248294,0.0853315268413365,0.125358961621787,0.680697460615424,0.49606294348266,1,"Not Significant"
"ENSG00000288531.1","ENSG00000288531",9.67843509371994,-1.00408829800839,0.562458144532584,-1.78517869777281,0.0742323361080989,1,"Not Significant"
"ENSG00000272438.1","ENSG00000272438",75.1841811428058,-0.0254394746362361,0.486775732367818,-0.0522611809600514,0.958320584131372,1,"Not Significant"
"ENSG00000230699.2","ENSG00000230699",259.441459005035,0.0830402241222806,0.42478159309755,0.195489224278159,0.845009972726073,1,"Not Significant"
"ENSG00000241180.1","ENSG00000241180",3.72449913290836,0.451997894461436,1.08074050713459,0.418229807689764,0.675779104212133,1,"Not Significant"
"ENSG00000223764.2","LINC02593",317.85780764513,-0.101535227523757,0.464298344657751,-0.218685310193388,0.82689519279842,1,"Not Significant"
"ENSG00000187634.13","SAMD11",637.882379201517,-0.290606747907238,0.518267762912053,-0.560727038614887,0.574983631764646,1,"Not Significant"
"ENSG00000188976.11","NOC2L",2740.9219848287,0.0496006429713253,0.118160236069628,0.419774406527907,0.674650263251855,1,"Not Significant"
"ENSG00000187961.15","KLHL17",419.55165212134,-0.224691446163315,0.262045412487495,-0.857452317254505,0.391194956309975,1,"Not Significant"
"ENSG00000187583.11","PLEKHN1",6.72907833774804,-0.0511266337273479,0.544189943541695,-0.0939499789257511,0.925148891935597,1,"Not Significant"
"ENSG00000187642.10","PERM1",0.398402349958432,-1.91546308092892,3.62560148891799,-0.528315946135758,0.597280065700188,1,"Not Significant"
"ENSG00000272512.1","ENSG00000272512",45.2734257652459,-0.030260201059881,0.358853363738453,-0.0843246967079732,0.932798277194951,1,"Not Significant"
"ENSG00000188290.11","HES4",66.3955988642206,-0.545135863585927,0.332152676606258,-1.64122074569986,0.100751600798386,1,"Not Significant"
"ENSG00000187608.10","ISG15",45.1929390250598,-0.188782033691094,0.3380931686378,-0.558372813185519,0.576589833462091,1,"Not Significant"
"ENSG00000224969.1","ENSG00000224969",0.947718355617326,-2.01822433854589,2.07336728406185,-0.973404159533213,0.330352472418469,1,"Not Significant"
"ENSG00000188157.15","AGRN",2535.86326318443,-0.358520391514592,0.213361662350469,-1.68034119890613,0.0928909495438002,1,"Not Significant"
"ENSG00000291156.1","ENSG00000291156",159.426104881717,-0.156413662225263,0.297604729047908,-0.525575190709029,0.599183397997767,1,"Not Significant"
"ENSG00000273443.1","ENSG00000273443",18.35225708078,-0.145645738994541,0.46299458242708,-0.314573311486814,0.753085645465547,1,"Not Significant"
"ENSG00000217801.13","ENSG00000217801",27.2136577532921,0.101503752315731,0.43197350759527,0.234976799574555,0.814226740381335,1,"Not Significant"
"ENSG00000237330.3","RNF223",0.604632963425718,1.62777733977776,2.91090665162344,0.559199429796189,0.576025622256138,1,"Not Significant"
"ENSG00000131591.18","C1orf159",240.398348724972,-0.0272705383046151,0.193587890934073,-0.140869029426547,0.887973409066024,1,"Not Significant"
"ENSG00000162571.14","TTLL10",19.67391972498,-0.148870700977866,1.12039761932783,-0.132873096487995,0.894293744104045,1,"Not Significant"
"ENSG00000078808.20","SDF4",1930.27322915621,-0.0043304804574055,0.147147967939021,-0.0294294275215549,0.976522103196179,1,"Not Significant"
"ENSG00000176022.7","B3GALT6",797.078077056269,-0.0567452551220686,0.178700134225067,-0.317544557916224,0.750830435163064,1,"Not Significant"
"ENSG00000184163.3","C1QTNF12",3.91077289444928,0.588163545280448,0.971758953197974,0.605256625982043,0.545008496202019,1,"Not Significant"
"ENSG00000260179.1","ENSG00000260179",3.54797013908866,-0.276010772806856,0.9347331715875,-0.295282954747497,0.767777736457461,1,"Not Significant"
"ENSG00000160087.21","UBE2J2",895.198647116628,-0.00249547045677114,0.179096473509351,-0.0139336660732231,0.988882902691231,1,"Not Significant"
"ENSG00000230415.1","LINC01786",20.8286888868427,-0.138597152080188,0.319310122738008,-0.434051858086272,0.664250783622913,1,"Not Significant"
"ENSG00000162572.21","SCNN1D",142.717480905587,-0.155104984683808,0.293342804201412,-0.528749921464962,0.59697894150207,1,"Not Significant"
"ENSG00000131584.19","ACAP3",2549.48265212072,-0.278742760848337,0.143587957196662,-1.941268378563,0.0522257329419456,1,"Not Significant"
"ENSG00000169972.13","PUSL1",153.166978705876,-0.199556406581771,0.190697407172818,-1.04645579371158,0.295350644575826,1,"Not Significant"
"ENSG00000127054.22","INTS11",1393.61494534264,-0.00884171331915616,0.0930958730559281,-0.094974277902141,0.924335257808789,1,"Not Significant"
"ENSG00000240731.1","ENSG00000240731",13.8938031698681,-0.442091978223577,0.494173194005704,-0.894609387126073,0.370995932048164,1,"Not Significant"
"ENSG00000224051.7","CPTP",402.22185441737,-0.173643775038469,0.294233026786631,-0.590157321680923,0.555085181794164,1,"Not Significant"
"ENSG00000169962.5","TAS1R3",25.9959985079101,-0.604728919382517,0.495003472663141,-1.22166601403632,0.221833953466762,1,"Not Significant"
"ENSG00000107404.21","DVL1",1804.33509957386,-0.208340317898795,0.216271026217671,-0.963329769791289,0.33538205819125,1,"Not Significant"
"ENSG00000162576.17","MXRA8",174.518599141153,0.0195689776672423,0.632931967744709,0.0309179796005112,0.975334951129724,1,"Not Significant"
"ENSG00000175756.14","AURKAIP1",577.372211294676,-0.176628992062708,0.209110237973805,-0.844669270018404,0.398295521544801,1,"Not Significant"
"ENSG00000221978.13","CCNL2",1895.91882312538,-0.234041625603599,0.153745675290431,-1.52226477370168,0.127942750800439,1,"Not Significant"
"ENSG00000224870.9","MRPL20-AS1",578.64365197308,0.0864637204331105,0.131604344949769,0.656997460578618,0.511182549303429,1,"Not Significant"
"ENSG00000242485.6","MRPL20",829.173289091719,0.0646332319660759,0.114586243198742,0.564057518265733,0.572714988148786,1,"Not Significant"
"ENSG00000272455.1","MRPL20-DT",47.1527062695298,0.013840866944885,0.235947568761824,0.0586607737367979,0.953222303530211,1,"Not Significant"
"ENSG00000235098.9","ANKRD65",51.2143321005465,0.108061820860451,0.427514939431464,0.252767355929498,0.800447994883174,1,"Not Significant"
"ENSG00000225905.1","ANKRD65-AS1",1.03703748930709,0.000841077974531641,1.83780827316411,0.000457652730599355,0.999634845964792,1,"Not Significant"
"ENSG00000205116.4","TMEM88B",16.1189295776058,0.344835975274963,0.728854975937192,0.473120149631356,0.636127461968436,1,"Not Significant"
"ENSG00000225285.1","LINC01770",3.46366682622873,-0.101602304318377,0.89158087340362,-0.113957474133007,0.909271504491884,1,"Not Significant"
"ENSG00000179403.12","VWA1",455.719221793219,-0.00372073877944295,0.226483170544253,-0.0164283234401116,0.986892683958419,1,"Not Significant"
"ENSG00000215915.10","ATAD3C",8.87921789823219,-0.0288809237609528,0.501292623612479,-0.0576129039219197,0.954056970903768,1,"Not Significant"
"ENSG00000160072.20","ATAD3B",398.188164483313,-0.125801587045222,0.183518706347162,-0.685497350919874,0.493030131710383,1,"Not Significant"
"ENSG00000290916.1","ENSG00000290916",1.00542622054045,0.390266776305404,2.26358886119914,0.172410627651993,0.863114717630183,1,"Not Significant"
"ENSG00000197785.14","ATAD3A",577.691998832807,-0.0310639257183021,0.17140269519931,-0.181233589601263,0.856184230444118,1,"Not Significant"
"ENSG00000205090.10","TMEM240",115.303957122732,-0.532382767097482,0.384212041947245,-1.38564831127959,0.165854318596136,1,"Not Significant"
"ENSG00000160075.12","SSU72",2065.98340675291,-0.0524404046833834,0.121457129024943,-0.431760614666052,0.665915407525076,1,"Not Significant"
"ENSG00000215014.5","ENSG00000215014",39.9024676617733,0.555440944652073,0.387381058936133,1.43383609456147,0.151619042011524,1,"Not Significant"
"ENSG00000228594.4","FNDC10",892.801646952281,-0.167064788520662,0.148133333512527,-1.12780010116045,0.259404350663273,1,"Not Significant"
"ENSG00000286989.1","ENSG00000286989",119.809982178316,0.0355553690819594,0.283577910013152,0.125381307310962,0.900221685933118,1,"Not Significant"
"ENSG00000272106.1","ENSG00000272106",463.25735568973,0.120947978517564,0.213967833893752,0.565262433687218,0.571895276348235,1,"Not Significant"
"ENSG00000197530.13","MIB2",821.398770112908,-0.306880040656268,0.260888152069766,-1.17628967901234,0.239479138665824,1,"Not Significant"
"ENSG00000189409.14","MMP23B",3.26161562534079,0.120688767951308,0.983577319171234,0.122703894852924,0.902341579529874,1,"Not Significant"
"ENSG00000248333.9","CDK11B",752.330119056456,-0.00973017873419982,0.0779672664815419,-0.12479825410454,0.900683269609821,1,"Not Significant"
"ENSG00000272004.1","ENSG00000272004",9.68608643514932,0.080471639430484,0.662975686066661,0.121379473066215,0.903390474778224,1,"Not Significant"
"ENSG00000189339.12","SLC35E2B",4693.96088119783,-0.0455588094206432,0.317858368396663,-0.143330533188257,0.88602914278109,1,"Not Significant"
"ENSG00000293187.1","ENSG00000293187",1.98650971086812,1.87090547210503,1.58036982919515,1.18384028696488,0.236476291237323,1,"Not Significant"
"ENSG00000215914.4","MMP23A",0.464344068547957,1.17705723996921,4.09919253297362,0.287143682688978,0.774002305880323,1,"Not Significant"
"ENSG00000008128.23","CDK11A",10.1681908494915,-0.892228270288191,0.602995743178015,-1.47965931829935,0.138964187522127,1,"Not Significant"
"ENSG00000268575.1","ENSG00000268575",83.7501488337942,0.0563479493131405,0.195332689592966,0.288471680959077,0.772985704892709,1,"Not Significant"
"ENSG00000293188.1","ENSG00000293188",3.03018089707253,0.375695901692477,1.2188385602239,0.308240905689316,0.757899028505877,1,"Not Significant"
"ENSG00000290854.1","ENSG00000290854",148.221656074772,-0.164409064230143,0.251236184935077,-0.654400417171712,0.512853865712351,1,"Not Significant"
"ENSG00000227775.4","ENSG00000227775",0.546169886356611,2.55005615382482,2.35019217510537,1.08504154717071,0.277903254304216,1,"Not Significant"
"ENSG00000008130.15","NADK",951.429163406662,-0.0244869018293868,0.114902126311858,-0.213110954647839,0.831240420334315,1,"Not Significant"
"ENSG00000078369.19","GNB1",29120.8523609346,0.0319227895405648,0.0974391806787066,0.327617589949018,0.743200820493973,1,"Not Significant"
"ENSG00000231050.3","GNB1-DT",31.4986101323076,-0.325409300194635,0.504972222189844,-0.644410298022884,0.519309408461935,1,"Not Significant"
"ENSG00000169885.10","CALML6",2.52192802782889,-0.628126411848182,0.981845466114645,-0.63974060432728,0.522341252872136,1,"Not Significant"
"ENSG00000178821.13","TMEM52",67.0979802952458,-0.152588722693374,0.280480042850107,-0.544027022895602,0.586422877381695,1,"Not Significant"
"ENSG00000142609.20","CFAP74",56.8922996008492,0.160125303605626,0.52146716287821,0.307066897025353,0.758792453615381,1,"Not Significant"
