"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000227232.6","WASH7P",210.556301035761,-0.00699281823003813,0.133212685308936,-0.0524936361264766,0.958135365980829,1,"Not Significant"
"ENSG00000243485.5","MIR1302-2HG",1.03081567041868,0.0111980296190888,2.07637081452132,0.00539307793231061,0.995696967241772,1,"Not Significant"
"ENSG00000238009.7","ENSG00000238009",5.94537873480543,0.718274143027649,0.741608625466653,0.968535314129712,0.332777091182771,1,"Not Significant"
"ENSG00000268903.1","ENSG00000268903",42.5776057768246,0.390622174054357,0.334686063809695,1.16713008485608,0.243157840026694,1,"Not Significant"
"ENSG00000269981.1","ENSG00000269981",71.7976441348744,-0.11989082631049,0.217453214089246,-0.551340787546537,0.581400083151514,1,"Not Significant"
"ENSG00000239906.1","ENSG00000239906",0.637842592726615,1.88941328921194,2.11900189131532,0.89165247891267,0.37257923215157,1,"Not Significant"
"ENSG00000241860.7","ENSG00000241860",15.2787438340733,0.070392141805903,0.535360534022747,0.131485489371004,0.895391264720684,1,"Not Significant"
"ENSG00000279928.2","DDX11L17",0.454763471264787,0,4.2558905071889,0,1,1,"Not Significant"
"ENSG00000279457.4","WASH9P",96.1956808495653,0.0503528670486895,0.164361069746094,0.306355191813214,0.759334220926314,1,"Not Significant"
"ENSG00000292994.1","ENSG00000292994",11.415397885073,0.754949015612296,0.536899935859329,1.40612610505153,0.159686681864449,1,"Not Significant"
"ENSG00000290385.1","ENSG00000290385",103.17921330782,-0.136552057849298,0.284554603201767,-0.479879981953672,0.631312736129422,1,"Not Significant"
"ENSG00000250575.1","ENSG00000250575",0.677958964724209,-0.00224704303173137,2.53342420856949,-0.00088695885360635,0.99929230931743,1,"Not Significant"
"ENSG00000293331.1","ENSG00000293331",4.81118548261338,0.300589172085336,0.743826469132808,0.404111959656099,0.686130390735503,1,"Not Significant"
"ENSG00000225630.1","MTND2P28",63.4119164435664,0.288622158717005,0.319773197587161,0.902583959177301,0.366746743084455,1,"Not Significant"
"ENSG00000237973.1","MTCO1P12",164.532070102628,0.124058672936727,0.170033260874161,0.729614149013713,0.465626071090793,1,"Not Significant"
"ENSG00000229344.1","MTCO2P12",1.28560421017881,1.42311210961985,1.84526123073568,0.771225280147721,0.440573412295255,1,"Not Significant"
"ENSG00000248527.1","MTATP6P1",733.088906815647,0.212776326156432,0.118709123144307,1.7924176383459,0.0730660914725583,1,"Not Significant"
"ENSG00000198744.5","MTCO3P12",1.78894255113129,0.33478059748939,1.3028821587419,0.256953858215899,0.79721439313341,1,"Not Significant"
"ENSG00000291215.1","ENSG00000291215",55.7726239216421,-0.0406816936844728,0.273537283476182,-0.148724492571833,0.88177103389431,1,"Not Significant"
"ENSG00000237491.10","LINC01409",34.3269775281975,0.110990583154153,0.289800755610764,0.382989281446959,0.701727711457528,1,"Not Significant"
"ENSG00000290784.1","ENSG00000290784",3.30186391965219,-0.297574482540618,0.916482936762041,-0.324691787052749,0.74541435115665,1,"Not Significant"
"ENSG00000177757.2","FAM87B",0.512824441564132,-0.267638317245217,2.86038650584596,-0.0935671863568881,0.925452976718059,1,"Not Significant"
"ENSG00000225880.6","LINC00115",27.9115355019655,0.00954009520927289,0.361381696423255,0.0263989441183524,0.978939136329112,1,"Not Significant"
"ENSG00000228794.12","LINC01128",1629.03314248294,0.118176297223952,0.125327550616788,0.942939494487511,0.345711852123114,1,"Not Significant"
"ENSG00000288531.1","ENSG00000288531",9.67843509371994,-0.381988202894257,0.521340694347623,-0.732703598694239,0.463739228602294,1,"Not Significant"
"ENSG00000272438.1","ENSG00000272438",75.1841811428058,-0.0200698228632456,0.486780228652984,-0.0412297412300059,0.967112743752106,1,"Not Significant"
"ENSG00000230699.2","ENSG00000230699",259.441459005035,0.127726316600441,0.424676285804525,0.300761593877253,0.763596296787329,1,"Not Significant"
"ENSG00000241180.1","ENSG00000241180",3.72449913290836,1.49645751987492,1.00428253122851,1.49007622192167,0.136204195518765,1,"Not Significant"
"ENSG00000223764.2","LINC02593",317.85780764513,-0.0512876200711514,0.464221387273701,-0.110480950419703,0.912027956740944,1,"Not Significant"
"ENSG00000187634.13","SAMD11",637.882379201517,-0.257903225441598,0.518248615653302,-0.497643828949715,0.618735105813634,1,"Not Significant"
"ENSG00000188976.11","NOC2L",2740.9219848287,0.0225879646746579,0.11818478616676,0.191124132024794,0.848428341501549,1,"Not Significant"
